rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,20,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,35.759683,357.5968,98,98,0.0000,VIDYA/FRAMA,-1,,,
2,McGinley,20,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,28.213444,282.1344,108,108,0.0000,McGinley/DEMA,-1,,,
3,VIDYA,20,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,27.685486,276.8549,132,132,0.0000,VIDYA/HMA,-1,,,
4,VIDYA,20,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,26.856438,268.5644,102,102,0.0000,VIDYA/FRAMA,-1,,,
5,McGinley,16,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,25.925516,259.2552,84,84,0.0000,McGinley/TEMA,-1,,,
6,VIDYA,20,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,25.587134,255.8713,122,122,0.0000,VIDYA/ZLEMA,-1,,,
7,VIDYA,18,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,24.611578,246.1158,130,130,0.0000,VIDYA/HMA,-1,,,
8,McGinley,16,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,24.527139,245.2714,90,90,0.0000,McGinley/TEMA,-1,,,
9,VIDYA,24,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,24.489302,244.8930,74,74,0.0000,VIDYA/DEMA,-1,,,
10,VIDYA,22,0.0,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,24.031251,240.3125,74,74,0.0000,VIDYA/DEMA,-1,,,
11,SMA,24,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,23.993739,247.3106,177,177,0.0994,SMA/DEMA,-1,,,
12,McGinley,20,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,23.695623,236.9562,120,120,0.0000,McGinley/DEMA,-1,,,
13,SMA,24,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,23.323396,244.1526,185,185,0.1491,SMA/DEMA,-1,,,
14,VIDYA,16,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,22.166353,221.6635,122,122,0.0000,VIDYA/ZLEMA,-1,,,
C0_1,ALMA,8,0.5,6.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,5.926718,-54.8393,38,0,0.0000,ALMA/TEMA,0,5.9267,58.8829,38
C0_2,JMA,22,0.0,2.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,4.385483,-40.7596,32,0,0.0000,JMA/DEMA,0,4.3855,51.8790,32
C0_3,VWMA,24,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,4.215089,76.2375,31,0,0.0000,VWMA/DEMA,0,4.2151,43.3131,31
C0_4,ALMA,8,0.5,6.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,3.681435,-64.7703,34,0,0.0000,ALMA/TEMA,0,3.6814,50.5489,34
C0_5,VWMA,12,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,2.287737,-50.7822,31,0,0.0000,VWMA/DEMA,0,2.2877,28.7428,31
C1_1,VIDYA,24,0.0,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,4.563678,83.2978,30,0,0.0000,VIDYA/EMA,1,4.5637,87.7602,30
C1_2,VIDYA,24,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,3.578342,105.9350,35,0,0.0000,VIDYA/EMA,1,3.5783,87.1134,35
C1_3,VIDYA,24,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,2.598437,244.8930,52,0,0.0000,VIDYA/DEMA,1,2.5984,103.4662,52
C1_4,VIDYA,22,0.0,0.0,ALMA,60,0.85,4.0,ALMA,240,0.85,4.0,2.354199,79.9602,46,0,0.0000,VIDYA/ALMA,1,2.3542,71.8179,46
C1_5,VIDYA,24,0.0,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,2.248662,227.7977,55,0,0.0000,VIDYA/DEMA,1,2.2487,87.7250,55
C1_6,VIDYA,18,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,2.210658,169.7428,71,0,0.0000,VIDYA/ALMA,1,2.2107,98.2472,71
C2_1,ALMA,18,0.5,4.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,11.456603,7.9852,37,0,0.0000,ALMA/TEMA,2,11.4566,50.3647,37
C2_2,ALMA,24,0.5,6.0,HMA,42,0.0,0.0,HMA,168,0.0,0.0,8.670725,11.4124,30,0,0.0000,ALMA/HMA,2,8.6707,50.1990,30
C2_3,T3,20,0.7,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,8.397641,106.5114,33,0,0.0000,T3/TEMA,2,8.3976,53.5143,33
C2_4,ALMA,22,0.5,4.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,8.167388,46.7542,42,0,0.0000,ALMA/HMA,2,8.1674,70.6936,42
C2_5,T3,24,0.8,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,6.282021,63.4188,38,0,0.0000,T3/TEMA,2,6.2820,53.5748,38
