rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,15.915032,159.1503,143,143,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,20,0.0,0.0,KAMA,69,0.0,0.0,KAMA,276,0.0,0.0,15.225261,152.2526,74,74,0.0000,VIDYA/KAMA,-1,,,
3,FRAMA,10,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,10.961438,131.5721,235,235,0.5563,FRAMA/TEMA,-1,,,
4,VIDYA,24,0.0,0.0,VWMA,48,0.0,0.0,VWMA,192,0.0,0.0,10.498351,104.9835,60,60,0.0000,VIDYA/VWMA,-1,,,
5,KAMA,18,0.0,0.0,SSmoother,39,0.0,0.0,SSmoother,156,0.0,0.0,10.084466,117.6781,223,223,0.4768,KAMA/SSmoother,-1,,,
6,VIDYA,24,0.0,0.0,VWMA,42,0.0,0.0,VWMA,168,0.0,0.0,10.063123,100.6312,58,58,0.0000,VIDYA/VWMA,-1,,,
7,KAMA,8,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,10.017025,114.2425,213,213,0.4106,KAMA/TEMA,-1,,,
8,KAMA,10,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,9.957162,122.4374,245,245,0.6225,KAMA/DEMA,-1,,,
9,VWMA,24,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,9.799390,108.8020,201,201,0.3311,VWMA/TEMA,-1,,,
10,KAMA,14,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,7.569075,81.5214,187,187,0.2384,KAMA/TEMA,-1,,,
11,VWMA,24,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,7.215406,76.4044,179,179,0.1854,VWMA/TEMA,-1,,,
12,KAMA,10,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,7.034018,81.7028,221,221,0.4636,KAMA/DEMA,-1,,,
13,KAMA,12,0.0,0.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,7.013997,97.1664,291,291,0.9272,KAMA/SSmoother,-1,,,
14,FRAMA,8,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,6.763963,85.2553,255,255,0.6887,FRAMA/TEMA,-1,,,
C0_1,ALMA,12,0.5,4.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,5.065340,-33.7222,32,0,0.0000,ALMA/TEMA,0,5.0653,36.1354,32
C0_2,SSmoother,22,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,4.979260,-53.6743,33,0,0.0000,SSmoother/ZLEMA,0,4.9793,35.9099,33
C0_3,ALMA,12,0.5,6.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,4.837684,-36.8033,42,0,0.0000,ALMA/TEMA,0,4.8377,48.0050,42
C0_4,T3,12,0.7,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,4.665794,-6.2234,32,0,0.0000,T3/ZLEMA,0,4.6658,27.7856,32
C0_5,T3,10,0.7,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,3.591582,-39.0546,45,0,0.0000,T3/ZLEMA,0,3.5916,37.1366,45
C1_1,VIDYA,12,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,18.913898,-8.7541,31,0,0.0000,VIDYA/DEMA,1,18.9139,76.7587,31
C1_2,VIDYA,20,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,7.509935,-2.0571,31,0,0.0000,VIDYA/DEMA,1,7.5099,53.4484,31
C1_3,VIDYA,22,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,7.412506,-28.0932,34,0,0.0000,VIDYA/ZLEMA,1,7.4125,53.4318,34
C1_4,VIDYA,24,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,5.690240,-6.3180,37,0,0.0000,VIDYA/TEMA,1,5.6902,57.2307,37
C1_5,VIDYA,14,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,4.727847,40.3119,37,0,0.0000,VIDYA/TEMA,1,4.7278,69.2445,37
C1_6,VIDYA,22,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,4.545283,-0.9550,39,0,0.0000,VIDYA/ZLEMA,1,4.5453,52.0115,39
C2_1,ALMA,16,0.5,4.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,3.745839,7.4082,90,0,0.0000,ALMA/TEMA,2,3.7458,74.6406,90
C2_2,VIDYA,24,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,3.623753,-15.9987,40,0,0.0000,VIDYA/FRAMA,2,3.6238,50.7934,40
C2_3,T3,12,0.7,0.0,DEMA,69,0.0,0.0,DEMA,276,0.0,0.0,3.015860,-16.7806,43,0,0.0000,T3/DEMA,2,3.0159,61.5817,43
C2_4,T3,14,0.8,0.0,DEMA,72,0.0,0.0,DEMA,288,0.0,0.0,2.752101,-12.2389,41,0,0.0000,T3/DEMA,2,2.7521,66.7617,41
C2_5,ALMA,14,0.5,4.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,2.466208,-24.2330,105,0,0.0000,ALMA/TEMA,2,2.4662,56.6355,105
