rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,T3,54,0.8,0.0,T3,216,0.8,0.0,34.930462,349.3046,78,78,0.0000,VIDYA/T3,-1,,,
2,VIDYA,22,0.0,0.0,T3,60,0.7,0.0,T3,240,0.7,0.0,30.450172,304.5017,64,64,0.0000,VIDYA/T3,-1,,,
3,VIDYA,12,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,29.973979,299.7398,104,104,0.0000,VIDYA/VWMA,-1,,,
4,KAMA,14,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,29.616654,320.8250,152,152,0.2562,KAMA/EMA,-1,,,
5,VIDYA,12,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,28.638519,286.3852,88,88,0.0000,VIDYA/VWMA,-1,,,
6,VIDYA,12,0.0,0.0,EMA,42,0.0,0.0,EMA,168,0.0,0.0,28.311761,286.6714,126,126,0.0413,VIDYA/EMA,-1,,,
7,KAMA,14,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,25.820590,265.4453,132,132,0.0909,KAMA/EMA,-1,,,
8,VIDYA,12,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,25.342774,253.4277,105,105,0.0000,VIDYA/KAMA,-1,,,
9,KAMA,12,0.0,0.0,Tenkan,54,0.0,0.0,Tenkan,216,0.0,0.0,23.560079,235.6008,112,112,0.0000,KAMA/Tenkan,-1,,,
10,VIDYA,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,22.104908,221.0491,112,112,0.0000,VIDYA/KAMA,-1,,,
11,VIDYA,14,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,22.060568,220.6057,98,98,0.0000,VIDYA/EMA,-1,,,
12,T3,22,0.8,0.0,T3,45,0.8,0.0,T3,180,0.8,0.0,21.961275,219.6127,87,87,0.0000,T3/T3,-1,,,
13,KAMA,12,0.0,0.0,Tenkan,57,0.0,0.0,Tenkan,228,0.0,0.0,21.354251,213.5425,108,108,0.0000,KAMA/Tenkan,-1,,,
14,T3,20,0.8,0.0,T3,48,0.8,0.0,T3,192,0.8,0.0,20.736238,207.3624,85,85,0.0000,T3/T3,-1,,,
C0_1,VWMA,24,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,5.194786,-58.5688,34,0,0.0000,VWMA/TEMA,0,5.1948,59.0190,34
C0_2,ALMA,16,0.5,4.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,4.382912,-37.3195,38,0,0.0000,ALMA/HMA,0,4.3829,56.5489,38
C0_3,VWMA,22,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,3.850046,-53.6089,44,0,0.0000,VWMA/TEMA,0,3.8500,60.8654,44
C0_4,SMA,16,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,3.596548,24.0137,35,0,0.0000,SMA/ZLEMA,0,3.5965,62.5317,35
C0_5,ALMA,16,0.5,4.0,HMA,57,0.0,0.0,HMA,228,0.0,0.0,3.297314,-55.9943,37,0,0.0000,ALMA/HMA,0,3.2973,55.6783,37
C0_6,SMA,14,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,3.106942,-49.1566,37,0,0.0000,SMA/ZLEMA,0,3.1069,33.7190,37
C1_1,HMA,16,0.0,0.0,T3,75,0.7,0.0,T3,300,0.7,0.0,5.654580,32.7876,31,0,0.0000,HMA/T3,1,5.6546,75.2547,31
C1_2,Tenkan,16,0.0,0.0,VWMA,72,0.0,0.0,VWMA,288,0.0,0.0,4.172026,82.9369,30,0,0.0000,Tenkan/VWMA,1,4.1720,79.4299,30
C1_3,VIDYA,24,0.0,0.0,Tenkan,36,0.0,0.0,Tenkan,144,0.0,0.0,4.128817,17.6274,40,0,0.0000,VIDYA/Tenkan,1,4.1288,51.4698,40
C1_4,Tenkan,14,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,3.589809,4.0483,35,0,0.0000,Tenkan/VWMA,1,3.5898,76.0975,35
C1_5,VIDYA,24,0.0,0.0,Tenkan,42,0.0,0.0,Tenkan,168,0.0,0.0,3.095008,38.1398,39,0,0.0000,VIDYA/Tenkan,1,3.0950,48.2892,39
C2_1,VIDYA,18,0.0,0.0,T3,54,0.8,0.0,T3,216,0.8,0.0,4.508694,235.9829,33,0,0.0000,VIDYA/T3,2,4.5087,85.6876,33
C2_2,VIDYA,18,0.0,0.0,T3,49,0.7,0.0,T3,196,0.7,0.0,3.892645,213.6275,31,0,0.0000,VIDYA/T3,2,3.8926,68.6069,31
C2_3,KAMA,10,0.0,0.0,VWMA,49,0.0,0.0,VWMA,196,0.0,0.0,3.639207,142.6959,44,0,0.0000,KAMA/VWMA,2,3.6392,110.4554,44
C2_4,SMA,22,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,3.566543,103.0965,45,0,0.0000,SMA/DEMA,2,3.5665,84.1749,45
C2_5,KAMA,16,0.0,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,3.198803,129.3870,45,0,0.0000,KAMA/VWMA,2,3.1988,96.1864,45
