rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VWMA,22,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,47.952797,537.7506,181,181,0.3609,VWMA/TEMA,-1,,,
2,KAMA,18,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,42.060894,480.1802,188,188,0.4135,KAMA/FRAMA,-1,,,
3,VWMA,22,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,38.083919,427.0794,181,181,0.3609,VWMA/TEMA,-1,,,
4,VIDYA,18,0.0,0.0,ALMA,57,0.85,4.0,ALMA,228,0.85,4.0,32.148980,321.4898,81,81,0.0000,VIDYA/ALMA,-1,,,
5,KAMA,20,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,30.998596,312.8083,137,137,0.0301,KAMA/DEMA,-1,,,
6,KAMA,22,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,29.866117,298.6612,95,95,0.0000,KAMA/TEMA,-1,,,
7,VIDYA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,29.361206,293.6121,82,82,0.0000,VIDYA/KAMA,-1,,,
8,KAMA,14,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,28.610263,299.6193,153,153,0.1504,KAMA/TEMA,-1,,,
9,KAMA,12,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,28.542248,407.7464,270,270,1.0000,KAMA/ALMA,-1,,,
10,KAMA,20,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,28.218582,282.1858,127,127,0.0000,KAMA/DEMA,-1,,,
11,VIDYA,18,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,20.842343,208.4234,86,86,0.0000,VIDYA/KAMA,-1,,,
12,VIDYA,18,0.0,0.0,ALMA,69,0.85,6.0,ALMA,276,0.85,6.0,20.387048,203.8705,77,77,0.0000,VIDYA/ALMA,-1,,,
13,KAMA,16,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,19.819968,246.5908,220,220,0.6541,KAMA/FRAMA,-1,,,
14,KAMA,18,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,18.945933,239.0711,225,225,0.6917,KAMA/ALMA,-1,,,
C0_1,VIDYA,16,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,12.261824,51.9833,30,0,0.0000,VIDYA/FRAMA,0,12.2618,80.1595,30
C0_2,VIDYA,12,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,8.990159,15.6269,30,0,0.0000,VIDYA/ZLEMA,0,8.9902,97.8443,30
C0_3,VIDYA,16,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,7.651197,248.2268,31,0,0.0000,VIDYA/FRAMA,0,7.6512,91.7384,31
C0_4,KAMA,20,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,7.278397,82.5491,41,0,0.0000,KAMA/DEMA,0,7.2784,86.1694,41
