rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,24,0.7,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,25.603706,307.9638,214,214,0.5620,T3/FRAMA,-1,,,
2,ALMA,16,0.5,4.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,22.500327,321.4332,458,458,1.0000,ALMA/SSmoother,-1,,,
3,VIDYA,20,0.0,0.0,Tenkan,66,0.0,0.0,Tenkan,264,0.0,0.0,20.856007,208.5601,135,135,0.0000,VIDYA/Tenkan,-1,,,
4,T3,22,0.7,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,20.827637,251.8434,216,216,0.5766,T3/FRAMA,-1,,,
5,T3,24,0.8,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,19.574924,195.7492,133,133,0.0000,T3/VWMA,-1,,,
6,T3,20,0.8,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,18.116475,223.1976,223,223,0.6277,T3/TEMA,-1,,,
7,McGinley,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,17.482228,174.8223,106,106,0.0000,McGinley/KAMA,-1,,,
8,VIDYA,18,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,16.906322,169.0632,83,83,0.0000,VIDYA/KAMA,-1,,,
9,VIDYA,20,0.0,0.0,KAMA,69,0.0,0.0,KAMA,276,0.0,0.0,16.690176,166.9018,71,71,0.0000,VIDYA/KAMA,-1,,,
10,T3,18,0.7,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,16.330600,193.8728,209,209,0.5255,T3/TEMA,-1,,,
11,T3,24,0.8,0.0,VWMA,57,0.0,0.0,VWMA,228,0.0,0.0,14.146492,141.4649,123,123,0.0000,T3/VWMA,-1,,,
12,VIDYA,20,0.0,0.0,Tenkan,69,0.0,0.0,Tenkan,276,0.0,0.0,12.945818,129.4582,131,131,0.0000,VIDYA/Tenkan,-1,,,
13,McGinley,16,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,9.931644,99.3164,129,129,0.0000,McGinley/KAMA,-1,,,
14,ALMA,18,0.5,6.0,SSmoother,33,0.0,0.0,SSmoother,132,0.0,0.0,8.771126,125.3018,530,530,1.0000,ALMA/SSmoother,-1,,,
C0_1,McGinley,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,4.987503,174.8223,35,0,0.0000,McGinley/KAMA,0,4.9875,116.8002,35
C0_2,EMA,18,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,4.976562,62.5029,30,0,0.0000,EMA/KAMA,0,4.9766,95.6730,30
