rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,FRAMA,20,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,114.301382,247.0874,379,379,1.0000,FRAMA/ALMA,-1,,,
2,EMA,24,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,103.841745,224.4766,246,246,1.0000,EMA/FRAMA,-1,,,
3,McGinley,24,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,101.973072,210.1041,230,230,0.8852,McGinley/FRAMA,-1,,,
4,McGinley,16,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,94.097475,188.8196,222,222,0.8197,McGinley/FRAMA,-1,,,
5,EMA,22,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,93.500663,202.1221,274,274,1.0000,EMA/FRAMA,-1,,,
6,FRAMA,20,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,86.329542,186.6202,397,397,1.0000,FRAMA/ALMA,-1,,,
7,T3,24,0.7,0.0,JMA,54,0.0,2.0,JMA,216,0.0,2.0,79.403998,135.1045,167,167,0.3689,T3/JMA,-1,,,
8,VIDYA,14,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,78.616425,128.7794,153,153,0.2541,VIDYA/FRAMA,-1,,,
9,VIDYA,14,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,77.665483,127.2217,153,153,0.2541,VIDYA/FRAMA,-1,,,
10,T3,24,0.8,0.0,ALMA,42,0.85,4.0,ALMA,168,0.85,4.0,71.874772,122.6327,168,168,0.3770,T3/ALMA,-1,,,
11,T3,20,0.7,0.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,70.645606,119.5411,165,165,0.3525,T3/HMA,-1,,,
12,T3,22,0.7,0.0,JMA,49,0.0,2.0,JMA,196,0.0,2.0,64.839368,114.7655,181,181,0.4836,T3/JMA,-1,,,
13,T3,18,0.7,0.0,HMA,51,0.0,0.0,HMA,204,0.0,0.0,60.847832,105.2780,173,173,0.4180,T3/HMA,-1,,,
14,T3,24,0.8,0.0,ALMA,57,0.85,6.0,ALMA,228,0.85,6.0,58.385488,95.3857,152,152,0.2459,T3/ALMA,-1,,,
C0_1,ZLEMA,8,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,4.606597,-21.6621,30,0,0.0000,ZLEMA/EMA,0,4.6066,43.3120,30
C0_2,T3,22,0.7,0.0,ALMA,54,0.85,4.0,ALMA,216,0.85,4.0,3.746882,41.2716,41,0,0.0000,T3/ALMA,0,3.7469,74.5462,41
