rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,24.648725,246.4873,69,69,0.0000,VIDYA/TEMA,-1,,,
2,McGinley,16,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,23.713206,338.7601,260,260,1.0000,McGinley/FRAMA,-1,,,
3,VIDYA,18,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,21.598915,215.9891,86,86,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,16,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,20.566872,205.6687,69,69,0.0000,VIDYA/TEMA,-1,,,
5,SMA,14,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,19.253201,206.6443,151,151,0.2276,SMA/TEMA,-1,,,
6,EMA,22,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,18.863419,247.0927,220,220,0.7886,EMA/FRAMA,-1,,,
7,McGinley,18,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,18.790579,250.9491,226,226,0.8374,McGinley/FRAMA,-1,,,
8,SMA,16,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,18.271782,193.0781,145,145,0.1789,SMA/TEMA,-1,,,
9,VIDYA,18,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,18.060874,180.6087,88,88,0.0000,VIDYA/KAMA,-1,,,
10,McGinley,22,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,17.590515,175.9052,71,71,0.0000,McGinley/TEMA,-1,,,
11,VWMA,20,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,17.450388,249.2913,327,327,1.0000,VWMA/FRAMA,-1,,,
12,McGinley,24,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,16.620727,166.2073,71,71,0.0000,McGinley/TEMA,-1,,,
13,EMA,24,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,14.680311,194.7873,224,224,0.8211,EMA/FRAMA,-1,,,
14,VWMA,20,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,9.715957,138.7994,350,350,1.0000,VWMA/FRAMA,-1,,,
