rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,22,0.0,0.0,VWMA,39,0.0,0.0,VWMA,156,0.0,0.0,43.994137,439.9414,94,94,0.0000,VIDYA/VWMA,-1,,,
2,VIDYA,24,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,43.775563,437.7556,80,80,0.0000,VIDYA/FRAMA,-1,,,
3,VIDYA,24,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,40.424997,404.2500,82,82,0.0000,VIDYA/FRAMA,-1,,,
4,VIDYA,20,0.0,0.0,VWMA,33,0.0,0.0,VWMA,132,0.0,0.0,36.794431,367.9443,102,102,0.0000,VIDYA/VWMA,-1,,,
5,VIDYA,24,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,30.023926,300.2393,66,66,0.0000,VIDYA/McGinley,-1,,,
6,VIDYA,24,0.0,0.0,ALMA,42,0.85,6.0,ALMA,168,0.85,6.0,28.743273,287.4327,90,90,0.0000,VIDYA/ALMA,-1,,,
7,VIDYA,20,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,28.118865,281.1886,76,76,0.0000,VIDYA/KAMA,-1,,,
8,VIDYA,20,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,27.803705,278.0371,72,72,0.0000,VIDYA/KAMA,-1,,,
9,McGinley,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,27.014263,270.1426,56,56,0.0000,McGinley/TEMA,-1,,,
10,VIDYA,24,0.0,0.0,ALMA,36,0.85,4.0,ALMA,144,0.85,4.0,26.767397,267.6740,78,78,0.0000,VIDYA/ALMA,-1,,,
11,VIDYA,24,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,26.716948,267.1695,86,86,0.0000,VIDYA/DEMA,-1,,,
12,McGinley,18,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,26.665124,266.6512,66,66,0.0000,McGinley/TEMA,-1,,,
13,VIDYA,24,0.0,0.0,McGinley,36,0.0,0.0,McGinley,144,0.0,0.0,25.958371,259.5837,62,62,0.0000,VIDYA/McGinley,-1,,,
14,VIDYA,18,0.0,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,25.692457,256.9246,56,56,0.0000,VIDYA/DEMA,-1,,,
C0_1,VIDYA,20,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,11.249110,219.3145,32,0,0.0000,VIDYA/KAMA,0,11.2491,95.6547,32
C0_2,VIDYA,22,0.0,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,5.637197,299.0052,39,0,0.0000,VIDYA/VWMA,0,5.6372,61.9688,39
C0_3,VIDYA,24,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,5.496480,237.9247,41,0,0.0000,VIDYA/VWMA,0,5.4965,59.4688,41
C0_4,T3,14,0.7,0.0,VWMA,72,0.0,0.0,VWMA,288,0.0,0.0,4.073364,-51.2827,31,0,0.0000,T3/VWMA,0,4.0734,52.7476,31
C0_5,T3,14,0.8,0.0,VWMA,69,0.0,0.0,VWMA,276,0.0,0.0,3.843998,-56.1905,31,0,0.0000,T3/VWMA,0,3.8440,51.8675,31
C0_6,VIDYA,20,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,3.651476,189.0184,30,0,0.0000,VIDYA/KAMA,0,3.6515,52.8732,30
C1_1,ALMA,22,0.85,4.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,6.199147,92.2385,31,0,0.0000,ALMA/TEMA,1,6.1991,59.8058,31
C1_2,VIDYA,20,0.0,0.0,VWMA,30,0.0,0.0,VWMA,120,0.0,0.0,5.910591,261.9994,34,0,0.0000,VIDYA/VWMA,1,5.9106,57.3777,34
C1_3,VIDYA,14,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,5.412854,144.6492,32,0,0.0000,VIDYA/FRAMA,1,5.4129,60.0649,32
C1_4,ALMA,22,0.85,4.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,4.819535,114.1843,39,0,0.0000,ALMA/TEMA,1,4.8195,54.4140,39
C1_5,VIDYA,16,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,4.366192,315.7850,32,0,0.0000,VIDYA/FRAMA,1,4.3662,49.3374,32
C1_6,VIDYA,14,0.0,0.0,VWMA,42,0.0,0.0,VWMA,168,0.0,0.0,3.891122,152.5970,36,0,0.0000,VIDYA/VWMA,1,3.8911,59.6670,36
C2_1,VIDYA,14,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,7.468540,192.0440,33,0,0.0000,VIDYA/FRAMA,2,7.4685,69.9335,33
C2_2,VIDYA,14,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,6.884149,202.9387,33,0,0.0000,VIDYA/FRAMA,2,6.8841,68.5428,33
C2_3,KAMA,14,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,5.104432,88.1690,34,0,0.0000,KAMA/TEMA,2,5.1044,66.9842,34
C2_4,KAMA,12,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,4.548054,169.1129,49,0,0.0000,KAMA/TEMA,2,4.5481,86.3668,49
C2_5,ALMA,24,0.5,4.0,JMA,49,0.0,2.0,JMA,196,0.0,2.0,4.546741,49.9588,37,0,0.0000,ALMA/JMA,2,4.5467,39.1795,37
