rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,12.708207,127.0821,125,125,0.0000,VIDYA/KAMA,-1,,,
2,KAMA,14,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,12.285848,152.2955,245,245,0.6443,KAMA/FRAMA,-1,,,
3,KAMA,14,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,11.419769,132.9333,219,219,0.4698,KAMA/FRAMA,-1,,,
4,SMA,16,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,10.274922,103.1646,151,151,0.0134,SMA/TEMA,-1,,,
5,VIDYA,16,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,9.801405,98.0140,97,97,0.0000,VIDYA/KAMA,-1,,,
6,SMA,24,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,9.704425,97.0442,119,119,0.0000,SMA/TEMA,-1,,,
7,KAMA,16,0.0,0.0,VWMA,30,0.0,0.0,VWMA,120,0.0,0.0,9.334176,109.9440,224,224,0.5034,KAMA/VWMA,-1,,,
8,ALMA,20,0.5,4.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,9.295788,101.5449,191,191,0.2819,ALMA/TEMA,-1,,,
9,VIDYA,14,0.0,0.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,9.087441,90.8744,141,141,0.0000,VIDYA/SMA,-1,,,
10,T3,14,0.8,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,9.016100,93.9440,169,169,0.1342,T3/HMA,-1,,,
11,T3,16,0.8,0.0,HMA,69,0.0,0.0,HMA,276,0.0,0.0,8.667492,102.3341,225,225,0.5101,T3/HMA,-1,,,
12,ALMA,24,0.5,4.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,8.549532,87.2521,159,159,0.0671,ALMA/TEMA,-1,,,
13,KAMA,18,0.0,0.0,VWMA,33,0.0,0.0,VWMA,132,0.0,0.0,6.369247,73.6243,216,216,0.4497,KAMA/VWMA,-1,,,
14,VIDYA,14,0.0,0.0,SMA,36,0.0,0.0,SMA,144,0.0,0.0,5.039409,50.3941,141,141,0.0000,VIDYA/SMA,-1,,,
C0_1,VIDYA,18,0.0,0.0,DEMA,63,0.0,0.0,DEMA,252,0.0,0.0,5.278156,26.2198,30,0,0.0000,VIDYA/DEMA,0,5.2782,47.9948,30
C0_2,VIDYA,18,0.0,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,5.067298,29.5373,37,0,0.0000,VIDYA/DEMA,0,5.0673,55.1110,37
C0_3,VIDYA,22,0.0,0.0,McGinley,39,0.0,0.0,McGinley,156,0.0,0.0,4.678409,4.6166,31,0,0.0000,VIDYA/McGinley,0,4.6784,37.1736,31
C0_4,VIDYA,22,0.0,0.0,EMA,60,0.0,0.0,EMA,240,0.0,0.0,4.549433,8.6243,35,0,0.0000,VIDYA/EMA,0,4.5494,43.1341,35
C0_5,VIDYA,22,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,4.356865,20.2386,30,0,0.0000,VIDYA/EMA,0,4.3569,36.2908,30
C0_6,VIDYA,20,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,3.325870,8.5353,41,0,0.0000,VIDYA/McGinley,0,3.3259,42.7991,41
C1_1,SMA,22,0.0,0.0,SSmoother,48,0.0,0.0,SSmoother,192,0.0,0.0,4.187039,-11.7366,31,0,0.0000,SMA/SSmoother,1,4.1870,31.1372,31
