rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,21.402688,214.0269,89,89,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,20.076398,200.7640,97,97,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,22,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,8.801821,88.0182,78,78,0.0000,VIDYA/FRAMA,-1,,,
4,VIDYA,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,8.755928,87.5593,84,84,0.0000,VIDYA/FRAMA,-1,,,
5,KAMA,14,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,8.526061,106.6833,207,207,0.6694,KAMA/FRAMA,-1,,,
6,McGinley,24,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,8.507067,85.0707,87,87,0.0000,McGinley/KAMA,-1,,,
7,McGinley,24,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,8.178586,81.7859,95,95,0.0000,McGinley/KAMA,-1,,,
8,KAMA,22,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,7.933558,106.6986,230,230,0.8548,KAMA/FRAMA,-1,,,
9,T3,20,0.7,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,7.871050,93.9375,191,191,0.5403,T3/TEMA,-1,,,
10,VIDYA,16,0.0,0.0,SMA,63,0.0,0.0,SMA,252,0.0,0.0,7.297331,72.9733,94,94,0.0000,VIDYA/SMA,-1,,,
11,FRAMA,22,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,6.839713,72.0581,145,145,0.1694,FRAMA/TEMA,-1,,,
12,T3,22,0.7,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,6.621952,74.7154,171,171,0.3790,T3/TEMA,-1,,,
13,VIDYA,16,0.0,0.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,5.723940,57.2394,100,100,0.0000,VIDYA/SMA,-1,,,
14,FRAMA,16,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,4.058301,44.4549,160,160,0.2903,FRAMA/TEMA,-1,,,
C0_1,McGinley,24,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,4.022153,38.8173,39,0,0.0000,McGinley/FRAMA,0,4.0222,39.9093,39
C0_2,VIDYA,14,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,3.935638,49.1647,30,0,0.0000,VIDYA/FRAMA,0,3.9356,30.7788,30
C0_3,KAMA,12,0.0,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,3.595008,17.3328,41,0,0.0000,KAMA/DEMA,0,3.5950,39.5443,41
C0_4,VIDYA,14,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,2.871102,51.5429,32,0,0.0000,VIDYA/FRAMA,0,2.8711,23.1278,32
C0_5,KAMA,20,0.0,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,2.825556,33.7834,31,0,0.0000,KAMA/DEMA,0,2.8256,24.3878,31
C1_1,KAMA,10,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,3.549339,-7.3408,33,0,0.0000,KAMA/FRAMA,1,3.5493,47.2096,33
C1_2,Tenkan,24,0.0,0.0,ALMA,63,0.85,4.0,ALMA,252,0.85,4.0,3.283471,-28.6273,30,0,0.0000,Tenkan/ALMA,1,3.2835,32.1153,30
C1_3,VWMA,8,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,3.157089,-13.3035,33,0,0.0000,VWMA/TEMA,1,3.1571,36.6039,33
C1_4,Tenkan,14,0.0,0.0,ALMA,54,0.85,6.0,ALMA,216,0.85,6.0,2.983974,-42.7163,45,0,0.0000,Tenkan/ALMA,1,2.9840,30.6947,45
C1_5,KAMA,12,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,2.856335,-10.2629,30,0,0.0000,KAMA/FRAMA,1,2.8563,36.5832,30
C2_1,VIDYA,18,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,6.294974,81.6620,31,0,0.0000,VIDYA/KAMA,2,6.2950,73.3939,31
C2_2,VIDYA,22,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,6.136705,21.0173,41,0,0.0000,VIDYA/EMA,2,6.1367,58.8438,41
C2_3,VIDYA,22,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,5.847148,88.0182,47,0,0.0000,VIDYA/FRAMA,2,5.8471,67.6948,47
C2_4,VIDYA,22,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,5.626852,58.9013,41,0,0.0000,VIDYA/FRAMA,2,5.6269,55.8923,41
C2_5,VIDYA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,5.482599,19.1794,32,0,0.0000,VIDYA/KAMA,2,5.4826,40.3391,32
C2_6,VIDYA,22,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,4.143745,32.6383,42,0,0.0000,VIDYA/EMA,2,4.1437,52.6376,42
