rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,18,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,22.346534,223.4653,92,92,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,21.892739,218.9274,104,104,0.0000,VIDYA/KAMA,-1,,,
3,McGinley,24,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,21.185951,273.5723,226,226,0.7519,McGinley/FRAMA,-1,,,
4,KAMA,12,0.0,0.0,JMA,33,0.0,2.0,JMA,132,0.0,2.0,20.043299,286.3328,260,260,1.0000,KAMA/JMA,-1,,,
5,VIDYA,20,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,18.031178,180.3118,111,111,0.0000,VIDYA/FRAMA,-1,,,
6,KAMA,12,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,16.762553,229.5509,245,245,0.8992,KAMA/HMA,-1,,,
7,KAMA,22,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,16.448232,166.4174,134,134,0.0388,KAMA/TEMA,-1,,,
8,VIDYA,8,0.0,0.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,16.063249,176.2040,167,167,0.2946,VIDYA/TEMA,-1,,,
9,VIDYA,22,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,15.920810,159.2081,86,86,0.0000,VIDYA/FRAMA,-1,,,
10,VIDYA,8,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,14.441317,156.8123,163,163,0.2636,VIDYA/TEMA,-1,,,
11,McGinley,24,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,14.380393,169.4129,194,194,0.5039,McGinley/FRAMA,-1,,,
12,KAMA,8,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,14.323604,175.4744,208,208,0.6124,KAMA/TEMA,-1,,,
13,KAMA,14,0.0,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,14.184329,202.6333,276,276,1.0000,KAMA/JMA,-1,,,
14,KAMA,8,0.0,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,13.238862,189.1266,266,266,1.0000,KAMA/HMA,-1,,,
C0_1,VWMA,24,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,5.714729,-2.0850,48,0,0.0000,VWMA/TEMA,0,5.7147,77.8867,48
C0_2,VIDYA,14,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,4.565790,85.1769,41,0,0.0000,VIDYA/FRAMA,0,4.5658,61.4183,41
C0_3,McGinley,24,0.0,0.0,HMA,72,0.0,0.0,HMA,288,0.0,0.0,4.545891,9.8661,33,0,0.0000,McGinley/HMA,0,4.5459,58.6829,33
C0_4,VIDYA,14,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,3.805726,65.3433,39,0,0.0000,VIDYA/FRAMA,0,3.8057,49.9124,39
C0_5,VWMA,22,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,3.582827,1.1492,53,0,0.0000,VWMA/TEMA,0,3.5828,60.5082,53
C1_1,VIDYA,10,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,6.132528,114.7586,36,0,0.0000,VIDYA/FRAMA,1,6.1325,61.2180,36
C1_2,VIDYA,10,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,6.115993,86.9487,41,0,0.0000,VIDYA/FRAMA,1,6.1160,63.3342,41
C1_3,KAMA,20,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,5.781236,-1.4524,48,0,0.0000,KAMA/FRAMA,1,5.7812,74.2625,48
C1_4,FRAMA,12,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,5.089926,33.3128,31,0,0.0000,FRAMA/TEMA,1,5.0899,56.6585,31
C1_5,KAMA,20,0.0,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,4.267353,36.2568,32,0,0.0000,KAMA/FRAMA,1,4.2674,54.6732,32
C2_1,VIDYA,24,0.0,0.0,Tenkan,57,0.0,0.0,Tenkan,228,0.0,0.0,3.753336,74.6592,31,0,0.0000,VIDYA/Tenkan,2,3.7533,56.7339,31
C2_2,VIDYA,20,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,3.151963,24.0579,30,0,0.0000,VIDYA/McGinley,2,3.1520,41.3460,30
C2_3,VIDYA,14,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,2.974939,160.9653,40,0,0.0000,VIDYA/KAMA,2,2.9749,72.4191,40
C2_4,VIDYA,24,0.0,0.0,McGinley,54,0.0,0.0,McGinley,216,0.0,0.0,2.442473,32.1655,32,0,0.0000,VIDYA/McGinley,2,2.4425,50.7538,32
C2_5,VIDYA,24,0.0,0.0,Tenkan,60,0.0,0.0,Tenkan,240,0.0,0.0,2.267743,49.2388,34,0,0.0000,VIDYA/Tenkan,2,2.2677,38.8589,34
C2_6,VIDYA,18,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,2.148067,148.2314,30,0,0.0000,VIDYA/KAMA,2,2.1481,46.7763,30
