rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,36.212240,362.1224,106,106,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,18,0.0,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,34.266696,342.6670,71,71,0.0000,VIDYA/KAMA,-1,,,
3,SMA,14,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,31.533915,316.7682,135,135,0.0150,SMA/TEMA,-1,,,
4,FRAMA,16,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,29.940960,427.7280,291,291,1.0000,FRAMA/FRAMA,-1,,,
5,VWMA,24,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,27.683195,304.2864,173,173,0.3008,VWMA/TEMA,-1,,,
6,FRAMA,22,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,26.935258,384.7894,328,328,1.0000,FRAMA/HMA,-1,,,
7,FRAMA,16,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,25.759423,367.9918,287,287,1.0000,FRAMA/FRAMA,-1,,,
8,FRAMA,24,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,24.642485,352.0355,314,314,1.0000,FRAMA/HMA,-1,,,
9,T3,22,0.7,0.0,T3,30,0.8,0.0,T3,120,0.8,0.0,23.807193,238.0719,116,116,0.0000,T3/T3,-1,,,
10,SMA,14,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,23.586946,242.4315,145,145,0.0902,SMA/TEMA,-1,,,
11,VWMA,24,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,22.202242,270.9081,213,213,0.6015,VWMA/TEMA,-1,,,
12,ALMA,18,0.5,6.0,T3,39,0.8,0.0,T3,156,0.8,0.0,21.949812,220.9936,136,136,0.0226,ALMA/T3,-1,,,
13,T3,12,0.7,0.0,T3,33,0.7,0.0,T3,132,0.7,0.0,16.697849,166.9785,128,128,0.0000,T3/T3,-1,,,
14,ALMA,18,0.5,6.0,T3,36,0.7,0.0,T3,144,0.7,0.0,15.264901,160.2393,154,154,0.1579,ALMA/T3,-1,,,
C0_1,VIDYA,24,0.0,0.0,Tenkan,42,0.0,0.0,Tenkan,168,0.0,0.0,5.136564,38.1768,32,0,0.0000,VIDYA/Tenkan,0,5.1366,72.6834,32
