rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,EMA,22,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,321.009617,628.7147,100,100,0.0000,EMA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,278.826136,546.0961,87,87,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,16,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,271.633368,532.0087,91,91,0.0000,VIDYA/KAMA,-1,,,
4,EMA,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,256.322556,513.8804,126,126,0.0769,EMA/KAMA,-1,,,
5,McGinley,18,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,253.377312,496.2532,101,101,0.0000,McGinley/KAMA,-1,,,
6,Tenkan,20,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,227.673952,447.0581,118,118,0.0085,Tenkan/KAMA,-1,,,
7,T3,14,0.8,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,207.751303,406.8922,101,101,0.0000,T3/KAMA,-1,,,
8,McGinley,18,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,207.566015,406.5293,113,113,0.0000,McGinley/KAMA,-1,,,
9,Tenkan,20,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,202.895113,401.4990,121,121,0.0342,Tenkan/KAMA,-1,,,
10,T3,14,0.8,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,202.029097,395.6849,93,93,0.0000,T3/KAMA,-1,,,
11,SMA,24,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,197.954719,421.1837,148,148,0.2650,SMA/KAMA,-1,,,
12,FRAMA,16,0.0,0.0,Tenkan,72,0.0,0.0,Tenkan,288,0.0,0.0,186.147385,364.5797,76,76,0.0000,FRAMA/Tenkan,-1,,,
13,SMA,22,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,185.744464,367.5604,121,121,0.0342,SMA/KAMA,-1,,,
14,FRAMA,16,0.0,0.0,Tenkan,75,0.0,0.0,Tenkan,300,0.0,0.0,129.467282,253.5687,78,78,0.0000,FRAMA/Tenkan,-1,,,
