rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,KAMA,48,0.0,0.0,KAMA,192,0.0,0.0,21.676942,216.7694,89,89,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,18,0.0,0.0,VWMA,30,0.0,0.0,VWMA,120,0.0,0.0,20.341405,203.4140,116,116,0.0000,VIDYA/VWMA,-1,,,
3,VIDYA,16,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,20.283600,202.8360,133,133,0.0000,VIDYA/FRAMA,-1,,,
4,VIDYA,22,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,19.182018,191.8202,89,89,0.0000,VIDYA/FRAMA,-1,,,
5,VIDYA,20,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,18.966634,189.6663,83,83,0.0000,VIDYA/KAMA,-1,,,
6,VIDYA,24,0.0,0.0,VWMA,33,0.0,0.0,VWMA,132,0.0,0.0,18.931220,189.3122,80,80,0.0000,VIDYA/VWMA,-1,,,
7,McGinley,22,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,18.779192,187.7919,69,69,0.0000,McGinley/TEMA,-1,,,
8,VIDYA,22,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,18.688914,186.8891,88,88,0.0000,VIDYA/EMA,-1,,,
9,VIDYA,22,0.0,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,18.544268,185.4427,71,71,0.0000,VIDYA/DEMA,-1,,,
10,VIDYA,24,0.0,0.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,18.425372,184.2537,65,65,0.0000,VIDYA/ZLEMA,-1,,,
11,VIDYA,24,0.0,0.0,ZLEMA,69,0.0,0.0,ZLEMA,276,0.0,0.0,18.025234,180.2523,69,69,0.0000,VIDYA/ZLEMA,-1,,,
12,McGinley,24,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,17.716128,177.1613,65,65,0.0000,McGinley/TEMA,-1,,,
13,VIDYA,22,0.0,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,17.687799,176.8780,75,75,0.0000,VIDYA/DEMA,-1,,,
14,VIDYA,22,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,15.386187,153.8619,88,88,0.0000,VIDYA/EMA,-1,,,
C0_1,McGinley,20,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,5.459981,82.5183,36,0,0.0000,McGinley/FRAMA,0,5.4600,55.2336,36
C0_2,EMA,24,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,5.239109,43.9988,31,0,0.0000,EMA/FRAMA,0,5.2391,39.1280,31
C0_3,SMA,22,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,5.099719,106.0864,41,0,0.0000,SMA/FRAMA,0,5.0997,52.1873,41
C0_4,SMA,22,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,4.467776,71.5616,46,0,0.0000,SMA/FRAMA,0,4.4678,55.4587,46
C0_5,McGinley,18,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,3.938643,155.4797,38,0,0.0000,McGinley/FRAMA,0,3.9386,55.4996,38
C0_6,EMA,24,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,3.206815,44.9257,41,0,0.0000,EMA/FRAMA,0,3.2068,40.1728,41
C1_1,ALMA,24,0.85,4.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,10.242488,26.3663,33,0,0.0000,ALMA/ZLEMA,1,10.2425,40.7475,33
C1_2,T3,22,0.7,0.0,ZLEMA,60,0.0,0.0,ZLEMA,240,0.0,0.0,6.669393,2.9904,32,0,0.0000,T3/ZLEMA,1,6.6694,36.3042,32
C1_3,VIDYA,12,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,5.728842,39.6399,30,0,0.0000,VIDYA/TEMA,1,5.7288,36.7766,30
C1_4,T3,24,0.7,0.0,ZLEMA,63,0.0,0.0,ZLEMA,252,0.0,0.0,3.054770,13.6506,30,0,0.0000,T3/ZLEMA,1,3.0548,26.0876,30
C1_5,VIDYA,12,0.0,0.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,2.931817,54.6056,34,0,0.0000,VIDYA/TEMA,1,2.9318,32.8736,34
C2_1,VIDYA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,7.097657,54.8897,35,0,0.0000,VIDYA/KAMA,2,7.0977,82.8810,35
C2_2,VIDYA,24,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,6.152672,84.5554,38,0,0.0000,VIDYA/EMA,2,6.1527,70.9767,38
C2_3,VIDYA,20,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,5.817657,50.4678,31,0,0.0000,VIDYA/KAMA,2,5.8177,69.0074,31
