rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,KAMA,45,0.0,0.0,KAMA,180,0.0,0.0,17.434552,174.3455,90,90,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,22,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,16.358605,163.5861,66,66,0.0000,VIDYA/EMA,-1,,,
3,VIDYA,16,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,15.994619,159.9462,100,100,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,16,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,15.343406,162.1190,132,132,0.1786,VIDYA/FRAMA,-1,,,
5,VIDYA,24,0.0,0.0,EMA,42,0.0,0.0,EMA,168,0.0,0.0,15.063893,150.6389,54,54,0.0000,VIDYA/EMA,-1,,,
6,McGinley,18,0.0,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,14.535539,207.6506,224,224,1.0000,McGinley/JMA,-1,,,
7,Tenkan,22,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,14.185870,202.6553,402,402,1.0000,Tenkan/FRAMA,-1,,,
8,Tenkan,22,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,13.649678,194.9954,416,416,1.0000,Tenkan/FRAMA,-1,,,
9,VIDYA,18,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,13.393362,133.9336,104,104,0.0000,VIDYA/FRAMA,-1,,,
10,VIDYA,22,0.0,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,13.358288,133.5829,64,64,0.0000,VIDYA/DEMA,-1,,,
11,VIDYA,22,0.0,0.0,DEMA,63,0.0,0.0,DEMA,252,0.0,0.0,12.944471,129.4447,60,60,0.0000,VIDYA/DEMA,-1,,,
12,VWMA,24,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,12.764876,171.8349,208,208,0.8571,VWMA/TEMA,-1,,,
13,VWMA,24,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,10.399998,137.0353,202,202,0.8036,VWMA/TEMA,-1,,,
