rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,KAMA,22,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,34.887563,404.9449,190,190,0.4615,KAMA/FRAMA,-1,,,
2,KAMA,22,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,32.264909,354.5594,169,169,0.3000,KAMA/EMA,-1,,,
3,VIDYA,14,0.0,0.0,EMA,49,0.0,0.0,EMA,196,0.0,0.0,31.981168,322.0412,133,133,0.0231,VIDYA/EMA,-1,,,
4,VIDYA,16,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,31.280601,312.8060,109,109,0.0000,VIDYA/EMA,-1,,,
5,T3,18,0.8,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,29.328447,306.7336,149,149,0.1462,T3/DEMA,-1,,,
6,KAMA,22,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,27.099138,334.2398,212,212,0.6308,KAMA/FRAMA,-1,,,
7,KAMA,22,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,26.937470,310.1746,187,187,0.4385,KAMA/EMA,-1,,,
8,T3,24,0.7,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,26.740753,267.4075,130,130,0.0000,T3/VWMA,-1,,,
9,VIDYA,16,0.0,0.0,SMA,51,0.0,0.0,SMA,204,0.0,0.0,26.532027,265.3203,115,115,0.0000,VIDYA/SMA,-1,,,
10,KAMA,20,0.0,0.0,ALMA,63,0.85,4.0,ALMA,252,0.85,4.0,26.387463,268.2072,137,137,0.0538,KAMA/ALMA,-1,,,
11,T3,24,0.8,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,24.343509,245.7031,134,134,0.0308,T3/VWMA,-1,,,
12,VIDYA,18,0.0,0.0,SMA,69,0.0,0.0,SMA,276,0.0,0.0,22.894513,228.9451,83,83,0.0000,VIDYA/SMA,-1,,,
13,T3,18,0.8,0.0,DEMA,72,0.0,0.0,DEMA,288,0.0,0.0,20.302609,216.5167,157,157,0.2077,T3/DEMA,-1,,,
14,KAMA,22,0.0,0.0,ALMA,72,0.85,4.0,ALMA,288,0.85,4.0,19.564611,203.6349,147,147,0.1308,KAMA/ALMA,-1,,,
C0_1,T3,10,0.7,0.0,T3,72,0.8,0.0,T3,288,0.8,0.0,5.243998,94.9650,30,0,0.0000,T3/T3,0,5.2440,116.2260,30
C0_2,KAMA,24,0.0,0.0,T3,63,0.8,0.0,T3,252,0.8,0.0,5.057136,16.0544,32,0,0.0000,KAMA/T3,0,5.0571,134.3267,32
C0_3,ALMA,12,0.5,4.0,T3,72,0.8,0.0,T3,288,0.8,0.0,5.024730,47.6241,31,0,0.0000,ALMA/T3,0,5.0247,120.2345,31
C0_4,ALMA,18,0.5,6.0,T3,75,0.8,0.0,T3,300,0.8,0.0,4.938775,91.9790,30,0,0.0000,ALMA/T3,0,4.9388,135.5171,30
C0_5,T3,10,0.8,0.0,T3,75,0.8,0.0,T3,300,0.8,0.0,4.880086,77.1888,30,0,0.0000,T3/T3,0,4.8801,141.8430,30
C1_1,SMA,20,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,6.551430,-37.8842,48,0,0.0000,SMA/ZLEMA,1,6.5514,101.3427,48
C1_2,VIDYA,24,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,5.927394,159.1709,38,0,0.0000,VIDYA/FRAMA,1,5.9274,135.2570,38
C1_3,T3,22,0.7,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,5.156444,-42.3810,37,0,0.0000,T3/HMA,1,5.1564,93.3788,37
C1_4,SMA,22,0.0,0.0,ZLEMA,49,0.0,0.0,ZLEMA,196,0.0,0.0,4.195174,-22.7670,45,0,0.0000,SMA/ZLEMA,1,4.1952,98.8766,45
C1_5,VIDYA,14,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,3.782062,36.3676,37,0,0.0000,VIDYA/FRAMA,1,3.7821,66.7582,37
C2_1,T3,18,0.7,0.0,ALMA,69,0.85,6.0,ALMA,276,0.85,6.0,4.523468,141.4055,30,0,0.0000,T3/ALMA,2,4.5235,65.8583,30
C2_2,T3,12,0.7,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,4.476769,37.6802,41,0,0.0000,T3/ZLEMA,2,4.4768,56.2509,41
C2_3,Tenkan,8,0.0,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,3.901471,-10.9413,33,0,0.0000,Tenkan/EMA,2,3.9015,83.2634,33
C2_4,T3,10,0.7,0.0,ALMA,39,0.85,6.0,ALMA,156,0.85,6.0,3.245444,37.6075,41,0,0.0000,T3/ALMA,2,3.2454,82.5201,41
C2_5,Tenkan,8,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,3.155901,-12.1451,36,0,0.0000,Tenkan/EMA,2,3.1559,86.7339,36
