rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,68.721592,687.2159,130,130,0.0000,VIDYA/EMA,-1,,,
2,VIDYA,16,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,57.167600,571.6760,125,125,0.0000,VIDYA/EMA,-1,,,
3,VIDYA,16,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,56.482778,564.8278,93,93,0.0000,VIDYA/KAMA,-1,,,
4,SMA,14,0.0,0.0,ZLEMA,60,0.0,0.0,ZLEMA,240,0.0,0.0,55.992654,631.4629,197,197,0.3776,SMA/ZLEMA,-1,,,
5,VIDYA,10,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,55.868357,648.4720,209,209,0.4615,VIDYA/FRAMA,-1,,,
6,KAMA,18,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,50.312595,503.1259,141,141,0.0000,KAMA/TEMA,-1,,,
7,KAMA,16,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,49.417465,622.0684,241,241,0.6853,KAMA/FRAMA,-1,,,
8,VIDYA,18,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,49.374823,493.7482,93,93,0.0000,VIDYA/KAMA,-1,,,
9,KAMA,18,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,48.312029,485.1559,145,145,0.0140,KAMA/DEMA,-1,,,
10,KAMA,18,0.0,0.0,DEMA,51,0.0,0.0,DEMA,204,0.0,0.0,46.675924,466.7592,129,129,0.0000,KAMA/DEMA,-1,,,
11,KAMA,16,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,41.290182,412.9018,135,135,0.0000,KAMA/TEMA,-1,,,
12,KAMA,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,40.758786,453.2276,191,191,0.3357,KAMA/FRAMA,-1,,,
