rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,20,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,44.278006,442.7801,71,71,0.0000,McGinley/TEMA,-1,,,
2,McGinley,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,39.605113,396.0511,69,69,0.0000,McGinley/TEMA,-1,,,
3,SMA,24,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,37.887390,385.0765,157,157,0.0537,SMA/TEMA,-1,,,
4,VIDYA,14,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,35.754512,357.5451,122,122,0.0000,VIDYA/KAMA,-1,,,
5,VIDYA,22,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,34.624072,346.2407,89,89,0.0000,VIDYA/TEMA,-1,,,
6,SMA,24,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,34.270306,351.1881,161,161,0.0805,SMA/TEMA,-1,,,
7,VIDYA,22,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,31.338125,313.3813,93,93,0.0000,VIDYA/EMA,-1,,,
8,VIDYA,20,0.0,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,30.414663,304.1466,87,87,0.0000,VIDYA/DEMA,-1,,,
9,VIDYA,18,0.0,0.0,DEMA,51,0.0,0.0,DEMA,204,0.0,0.0,30.410162,304.1016,87,87,0.0000,VIDYA/DEMA,-1,,,
10,Tenkan,24,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,29.505811,421.5116,309,309,1.0000,Tenkan/TEMA,-1,,,
11,VIDYA,22,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,28.386130,283.8613,93,93,0.0000,VIDYA/TEMA,-1,,,
12,VIDYA,14,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,27.593912,275.9391,118,118,0.0000,VIDYA/KAMA,-1,,,
13,Tenkan,24,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,22.059674,315.1382,305,305,1.0000,Tenkan/TEMA,-1,,,
14,VIDYA,20,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,19.837753,198.3775,103,103,0.0000,VIDYA/EMA,-1,,,
C0_1,ALMA,16,0.85,4.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,23.757298,94.0656,40,0,0.0000,ALMA/TEMA,0,23.7573,77.7535,40
C0_2,ALMA,24,0.85,4.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,12.780768,144.0345,31,0,0.0000,ALMA/TEMA,0,12.7808,53.3311,31
C0_3,SSmoother,20,0.0,0.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,11.937278,44.2301,62,0,0.0000,SSmoother/TEMA,0,11.9373,82.8301,62
C0_4,SMA,18,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,11.482763,54.2590,32,0,0.0000,SMA/TEMA,0,11.4828,42.9058,32
C0_5,SSmoother,24,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,8.789248,36.4729,49,0,0.0000,SSmoother/TEMA,0,8.7892,56.4136,49
C0_6,SMA,16,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,8.335608,104.4865,35,0,0.0000,SMA/TEMA,0,8.3356,72.5058,35
C1_1,SMA,14,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,6.542094,52.7621,34,0,0.0000,SMA/ZLEMA,1,6.5421,54.0018,34
C1_2,KAMA,24,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,5.681801,28.7719,37,0,0.0000,KAMA/FRAMA,1,5.6818,56.5217,37
C1_3,SMA,16,0.0,0.0,HMA,51,0.0,0.0,HMA,204,0.0,0.0,5.650885,32.0773,37,0,0.0000,SMA/HMA,1,5.6509,56.8376,37
C2_1,McGinley,20,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,12.271053,275.8131,38,0,0.0000,McGinley/TEMA,2,12.2711,112.1286,38
C2_2,EMA,24,0.0,0.0,DEMA,54,0.0,0.0,DEMA,216,0.0,0.0,5.427207,69.6392,34,0,0.0000,EMA/DEMA,2,5.4272,71.2059,34
C2_3,McGinley,18,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,5.414005,206.3901,39,0,0.0000,McGinley/TEMA,2,5.4140,95.7425,39
C2_4,VIDYA,24,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,4.630323,208.6415,54,0,0.0000,VIDYA/TEMA,2,4.6303,103.1593,54
C2_5,VIDYA,24,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,4.390557,180.1508,57,0,0.0000,VIDYA/TEMA,2,4.3906,101.0674,57
C2_6,EMA,20,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,3.848104,182.3688,46,0,0.0000,EMA/DEMA,2,3.8481,90.3050,46
