rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,20,0.0,0.0,Tenkan,66,0.0,0.0,Tenkan,264,0.0,0.0,28.333918,285.7370,147,147,0.0280,VIDYA/Tenkan,-1,,,
2,VIDYA,20,0.0,0.0,Tenkan,69,0.0,0.0,Tenkan,276,0.0,0.0,24.770389,254.1008,155,155,0.0839,VIDYA/Tenkan,-1,,,
3,VIDYA,24,0.0,0.0,VWMA,30,0.0,0.0,VWMA,120,0.0,0.0,21.967136,219.6714,75,75,0.0000,VIDYA/VWMA,-1,,,
4,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,21.034060,212.5704,148,148,0.0350,VIDYA/KAMA,-1,,,
5,EMA,22,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,20.355124,203.5512,141,141,0.0000,EMA/ZLEMA,-1,,,
6,VIDYA,22,0.0,0.0,VWMA,69,0.0,0.0,VWMA,276,0.0,0.0,18.783851,187.8385,83,83,0.0000,VIDYA/VWMA,-1,,,
7,VIDYA,24,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,18.413968,184.1397,47,47,0.0000,VIDYA/KAMA,-1,,,
8,EMA,14,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,17.017411,214.7829,242,242,0.6923,EMA/HMA,-1,,,
9,KAMA,24,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,16.541360,179.3339,180,180,0.2587,KAMA/FRAMA,-1,,,
10,EMA,20,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,15.986707,161.2200,147,147,0.0280,EMA/ZLEMA,-1,,,
11,ALMA,24,0.85,4.0,HMA,39,0.0,0.0,HMA,156,0.0,0.0,15.898677,175.5607,188,188,0.3147,ALMA/HMA,-1,,,
12,ALMA,20,0.85,4.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,15.253447,183.2977,223,223,0.5594,ALMA/HMA,-1,,,
13,EMA,16,0.0,0.0,HMA,39,0.0,0.0,HMA,156,0.0,0.0,12.944104,155.1556,222,222,0.5524,EMA/HMA,-1,,,
14,KAMA,14,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,12.133034,141.5191,211,211,0.4755,KAMA/FRAMA,-1,,,
C0_1,SSmoother,24,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,5.738171,7.1522,35,0,0.0000,SSmoother/TEMA,0,5.7382,47.2913,35
C0_2,SSmoother,22,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,4.326986,33.6634,33,0,0.0000,SSmoother/TEMA,0,4.3270,40.2962,33
C0_3,JMA,24,0.0,2.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,4.223866,19.5768,43,0,0.0000,JMA/TEMA,0,4.2239,46.1905,43
C0_4,ALMA,18,0.5,4.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,4.103395,53.1978,35,0,0.0000,ALMA/ZLEMA,0,4.1034,32.5606,35
C0_5,JMA,24,0.0,2.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,3.665328,44.9004,43,0,0.0000,JMA/TEMA,0,3.6653,32.5709,43
C0_6,ALMA,20,0.5,6.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,3.561233,24.9630,41,0,0.0000,ALMA/ZLEMA,0,3.5612,33.7129,41
C1_1,VIDYA,8,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,9.471579,26.5364,31,0,0.0000,VIDYA/TEMA,1,9.4716,58.6355,31
C1_2,VIDYA,8,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,7.713351,19.7653,34,0,0.0000,VIDYA/DEMA,1,7.7134,56.3182,34
C1_3,VIDYA,12,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,7.123153,-2.9230,34,0,0.0000,VIDYA/ALMA,1,7.1232,49.8214,34
C1_4,VIDYA,8,0.0,0.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,5.706010,49.5815,37,0,0.0000,VIDYA/TEMA,1,5.7060,54.7302,37
C1_5,VIDYA,10,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,5.177180,-26.6031,43,0,0.0000,VIDYA/ALMA,1,5.1772,55.9966,43
C2_1,KAMA,24,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,5.078626,13.1170,53,0,0.0000,KAMA/TEMA,2,5.0786,80.6572,53
C2_2,VIDYA,24,0.0,0.0,EMA,49,0.0,0.0,EMA,196,0.0,0.0,4.037279,34.2832,32,0,0.0000,VIDYA/EMA,2,4.0373,58.7879,32
C2_3,VIDYA,24,0.0,0.0,VWMA,30,0.0,0.0,VWMA,120,0.0,0.0,3.973779,219.6714,46,0,0.0000,VIDYA/VWMA,2,3.9738,80.1508,46
C2_4,VIDYA,22,0.0,0.0,VWMA,36,0.0,0.0,VWMA,144,0.0,0.0,3.936041,111.0024,44,0,0.0000,VIDYA/VWMA,2,3.9360,74.2994,44
C2_5,KAMA,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,3.055761,11.2522,60,0,0.0000,KAMA/TEMA,2,3.0558,71.6771,60
