rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,20,0.7,0.0,VWMA,30,0.0,0.0,VWMA,120,0.0,0.0,23.561411,899.4106,252,252,1.0000,T3/VWMA,-1,,,
2,T3,18,0.8,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,22.299041,598.8248,123,123,0.0165,T3/EMA,-1,,,
3,ALMA,24,0.5,6.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,21.592778,582.7628,125,125,0.0331,ALMA/SMA,-1,,,
4,T3,22,0.8,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,21.327713,569.9005,111,111,0.0000,T3/VWMA,-1,,,
5,KAMA,22,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,21.163159,565.5034,51,51,0.0000,KAMA/KAMA,-1,,,
6,T3,20,0.7,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,19.548793,538.3838,133,133,0.0992,T3/KAMA,-1,,,
7,T3,20,0.8,0.0,EMA,42,0.0,0.0,EMA,168,0.0,0.0,19.445521,519.6062,111,111,0.0000,T3/EMA,-1,,,
8,T3,24,0.7,0.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,19.434873,519.3217,87,87,0.0000,T3/SMA,-1,,,
9,T3,16,0.8,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,19.328125,737.8132,260,260,1.0000,T3/JMA,-1,,,
10,ALMA,24,0.5,6.0,SMA,57,0.0,0.0,SMA,228,0.0,0.0,19.074102,519.9954,129,129,0.0661,ALMA/SMA,-1,,,
11,T3,18,0.8,0.0,JMA,49,0.0,2.0,JMA,196,0.0,2.0,18.730904,521.1860,137,137,0.1322,T3/JMA,-1,,,
12,T3,22,0.7,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,18.156143,485.1525,83,83,0.0000,T3/KAMA,-1,,,
13,KAMA,22,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,17.556120,469.1193,64,64,0.0000,KAMA/KAMA,-1,,,
14,T3,24,0.7,0.0,SMA,60,0.0,0.0,SMA,240,0.0,0.0,16.711877,446.5601,75,75,0.0000,T3/SMA,-1,,,
C0_1,VIDYA,12,0.0,0.0,Tenkan,63,0.0,0.0,Tenkan,252,0.0,0.0,10.654997,338.6711,30,0,0.0000,VIDYA/Tenkan,0,10.6550,88.7773,30
C0_2,EMA,18,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,8.488446,-31.1264,30,0,0.0000,EMA/FRAMA,0,8.4884,58.4831,30
C0_3,T3,18,0.8,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,8.457796,51.1223,30,0,0.0000,T3/DEMA,0,8.4578,120.8520,30
C0_4,T3,22,0.8,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,5.716247,28.7444,34,0,0.0000,T3/DEMA,0,5.7162,92.8466,34
C1_1,VIDYA,16,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,4.392353,56.3247,35,0,0.0000,VIDYA/McGinley,1,4.3924,74.2353,35
C1_2,VIDYA,16,0.0,0.0,JMA,49,0.0,2.0,JMA,196,0.0,2.0,4.321945,-104.7216,30,0,0.0000,VIDYA/JMA,1,4.3219,64.7150,30
C1_3,T3,22,0.7,0.0,SSmoother,36,0.0,0.0,SSmoother,144,0.0,0.0,3.952714,179.6910,75,0,0.0000,T3/SSmoother,1,3.9527,133.5649,75
C1_4,T3,22,0.7,0.0,SSmoother,33,0.0,0.0,SSmoother,132,0.0,0.0,3.629985,154.9588,76,0,0.0000,T3/SSmoother,1,3.6300,122.2910,76
C2_1,VIDYA,14,0.0,0.0,VWMA,60,0.0,0.0,VWMA,240,0.0,0.0,3.443414,26.8579,30,0,0.0000,VIDYA/VWMA,2,3.4434,69.6999,30
C2_2,VWMA,16,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,3.317489,-8.1572,71,0,0.0000,VWMA/TEMA,2,3.3175,112.4654,71
C2_3,SMA,18,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,3.265545,-12.5712,35,0,0.0000,SMA/T3,2,3.2655,93.1222,35
C2_4,SMA,18,0.0,0.0,T3,42,0.8,0.0,T3,168,0.8,0.0,3.230720,-19.8639,36,0,0.0000,SMA/T3,2,3.2307,100.5392,36
C2_5,VWMA,14,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,2.723395,-72.1701,74,0,0.0000,VWMA/TEMA,2,2.7234,98.4972,74
