rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,SMA,24,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,66.655356,689.7045,159,159,0.1119,SMA/TEMA,-1,,,
2,VIDYA,18,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,56.958927,569.5893,86,86,0.0000,VIDYA/KAMA,-1,,,
3,SMA,24,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,56.735446,602.7614,171,171,0.1958,SMA/TEMA,-1,,,
4,ALMA,24,0.5,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,55.110988,624.4748,199,199,0.3916,ALMA/TEMA,-1,,,
5,SMA,24,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,54.550309,609.4292,193,193,0.3497,SMA/DEMA,-1,,,
6,KAMA,18,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,53.483026,617.7765,207,207,0.4476,KAMA/HMA,-1,,,
7,SMA,24,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,49.361137,538.8277,183,183,0.2797,SMA/DEMA,-1,,,
8,KAMA,22,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,45.909449,510.5017,191,191,0.3357,KAMA/FRAMA,-1,,,
9,McGinley,18,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,43.035229,430.3523,63,63,0.0000,McGinley/TEMA,-1,,,
10,VIDYA,18,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,41.973058,419.7306,82,82,0.0000,VIDYA/KAMA,-1,,,
11,ALMA,24,0.5,4.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,41.466412,463.2576,193,193,0.3497,ALMA/TEMA,-1,,,
12,KAMA,18,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,40.231159,464.7056,207,207,0.4476,KAMA/HMA,-1,,,
13,McGinley,20,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,39.226986,392.2699,63,63,0.0000,McGinley/TEMA,-1,,,
14,KAMA,22,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,30.273716,342.2246,198,198,0.3846,KAMA/FRAMA,-1,,,
C0_1,VIDYA,14,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,4.739636,262.1494,61,0,0.0000,VIDYA/DEMA,0,4.7396,130.3320,61
C0_2,VIDYA,16,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,4.719668,333.9550,60,0,0.0000,VIDYA/FRAMA,0,4.7197,122.1731,60
C0_3,EMA,24,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,4.714734,144.2080,30,0,0.0000,EMA/DEMA,0,4.7147,97.7220,30
C0_4,VIDYA,14,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,4.554651,165.5016,59,0,0.0000,VIDYA/DEMA,0,4.5547,121.8884,59
C0_5,VIDYA,16,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,4.038494,225.1631,64,0,0.0000,VIDYA/FRAMA,0,4.0385,113.2155,64
C0_6,EMA,22,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,2.875146,137.4377,36,0,0.0000,EMA/DEMA,0,2.8751,80.6070,36
C1_1,VWMA,24,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,5.409625,141.2042,32,0,0.0000,VWMA/TEMA,1,5.4096,63.3261,32
C1_2,VWMA,22,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,5.259038,27.9521,30,0,0.0000,VWMA/TEMA,1,5.2590,57.3538,30
C1_3,T3,12,0.8,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,4.711862,-35.8956,44,0,0.0000,T3/DEMA,1,4.7119,72.4180,44
C1_4,T3,16,0.8,0.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,4.570661,-23.1569,38,0,0.0000,T3/ZLEMA,1,4.5707,79.2662,38
C1_5,T3,16,0.8,0.0,ZLEMA,69,0.0,0.0,ZLEMA,276,0.0,0.0,3.777027,-64.6315,33,0,0.0000,T3/ZLEMA,1,3.7770,56.3036,33
C1_6,T3,14,0.8,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,3.122960,-20.9565,47,0,0.0000,T3/DEMA,1,3.1230,61.6066,47
C2_1,SMA,16,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,4.842339,220.1878,34,0,0.0000,SMA/TEMA,2,4.8423,49.9204,34
C2_2,ALMA,22,0.5,6.0,HMA,48,0.0,0.0,HMA,192,0.0,0.0,4.247944,185.4027,49,0,0.0000,ALMA/HMA,2,4.2479,84.8087,49
C2_3,ALMA,24,0.5,4.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,3.835056,463.2576,32,0,0.0000,ALMA/TEMA,2,3.8351,51.4576,32
