rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,46.174866,461.7487,124,124,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,14,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,41.901799,419.0180,119,119,0.0000,VIDYA/FRAMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,39.173796,391.7380,118,118,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,14,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,37.595741,382.8663,141,141,0.0602,VIDYA/FRAMA,-1,,,
5,SMA,24,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,33.392947,477.0421,269,269,1.0000,SMA/FRAMA,-1,,,
6,T3,16,0.7,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,33.294906,475.6415,302,302,1.0000,T3/FRAMA,-1,,,
7,SMA,24,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,32.303801,445.6852,255,255,0.9173,SMA/FRAMA,-1,,,
8,SMA,14,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,30.751724,341.4006,177,177,0.3308,SMA/TEMA,-1,,,
9,SMA,14,0.0,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,28.125985,318.6334,185,185,0.3910,SMA/TEMA,-1,,,
10,T3,14,0.7,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,26.514640,378.7806,306,306,1.0000,T3/FRAMA,-1,,,
11,ALMA,16,0.5,4.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,26.348669,354.6936,247,247,0.8571,ALMA/TEMA,-1,,,
12,VIDYA,14,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,23.765248,237.6525,97,97,0.0000,VIDYA/DEMA,-1,,,
13,VIDYA,18,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,22.792987,227.9299,109,109,0.0000,VIDYA/DEMA,-1,,,
14,ALMA,16,0.5,4.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,17.944622,240.1041,245,245,0.8421,ALMA/TEMA,-1,,,
C0_1,VWMA,20,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,7.723688,-4.5260,37,0,0.0000,VWMA/TEMA,0,7.7237,65.4805,37
C0_2,VWMA,20,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,5.689283,-0.7233,39,0,0.0000,VWMA/TEMA,0,5.6893,53.4274,39
C0_3,FRAMA,24,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,5.075247,101.9470,33,0,0.0000,FRAMA/TEMA,0,5.0752,62.4447,33
C0_4,FRAMA,22,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,4.578793,34.9669,31,0,0.0000,FRAMA/TEMA,0,4.5788,59.1916,31
C0_5,ALMA,12,0.5,4.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,4.120901,24.6688,35,0,0.0000,ALMA/TEMA,0,4.1209,41.4184,35
C0_6,ALMA,12,0.5,4.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,3.290607,25.1851,36,0,0.0000,ALMA/TEMA,0,3.2906,40.9287,36
C1_1,VIDYA,20,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,9.271018,103.4480,31,0,0.0000,VIDYA/HMA,1,9.2710,56.5069,31
C1_2,VIDYA,20,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,8.066648,175.8992,34,0,0.0000,VIDYA/HMA,1,8.0666,71.9727,34
C1_3,T3,24,0.7,0.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,7.017490,121.3423,33,0,0.0000,T3/ZLEMA,1,7.0175,59.1827,33
