rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,22,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,42.408438,424.0844,137,137,0.0000,McGinley/ZLEMA,-1,,,
2,VIDYA,20,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,42.176491,421.7649,91,91,0.0000,VIDYA/EMA,-1,,,
3,VIDYA,20,0.0,0.0,DEMA,54,0.0,0.0,DEMA,216,0.0,0.0,41.945026,419.4503,79,79,0.0000,VIDYA/DEMA,-1,,,
4,VIDYA,24,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,41.264143,412.6414,76,76,0.0000,VIDYA/EMA,-1,,,
5,VIDYA,20,0.0,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,40.875013,408.7501,79,79,0.0000,VIDYA/DEMA,-1,,,
6,VIDYA,20,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,33.776668,337.7667,101,101,0.0000,VIDYA/FRAMA,-1,,,
7,VIDYA,24,0.0,0.0,ALMA,36,0.85,4.0,ALMA,144,0.85,4.0,33.230790,332.3079,85,85,0.0000,VIDYA/ALMA,-1,,,
8,VIDYA,22,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,32.998403,329.9840,97,97,0.0000,VIDYA/ZLEMA,-1,,,
9,EMA,20,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,32.508717,325.0872,151,151,0.0000,EMA/TEMA,-1,,,
10,VIDYA,22,0.0,0.0,ALMA,39,0.85,4.0,ALMA,156,0.85,4.0,31.548852,315.4885,83,83,0.0000,VIDYA/ALMA,-1,,,
11,VIDYA,22,0.0,0.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,30.177235,301.7723,95,95,0.0000,VIDYA/ZLEMA,-1,,,
12,McGinley,20,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,29.765393,297.6539,149,149,0.0000,McGinley/ZLEMA,-1,,,
13,VIDYA,22,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,28.912246,289.1225,79,79,0.0000,VIDYA/FRAMA,-1,,,
14,EMA,14,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,27.613155,276.1315,147,147,0.0000,EMA/TEMA,-1,,,
C0_1,T3,24,0.7,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,7.875860,251.0886,35,0,0.0000,T3/TEMA,0,7.8759,49.2073,35
