rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,SMA,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,24.986458,249.8646,137,137,0.0000,SMA/TEMA,-1,,,
2,KAMA,22,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,24.979872,249.7987,137,137,0.0000,KAMA/DEMA,-1,,,
3,KAMA,22,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,24.790119,247.9012,135,135,0.0000,KAMA/DEMA,-1,,,
4,VIDYA,14,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,23.172225,244.0080,167,167,0.1678,VIDYA/FRAMA,-1,,,
5,VIDYA,14,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,22.918515,235.1039,155,155,0.0839,VIDYA/FRAMA,-1,,,
6,SMA,24,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,21.306012,213.0601,127,127,0.0000,SMA/TEMA,-1,,,
7,SMA,24,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,20.764161,226.6622,183,183,0.2797,SMA/DEMA,-1,,,
8,KAMA,18,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,20.519254,212.3193,159,159,0.1119,KAMA/FRAMA,-1,,,
9,KAMA,22,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,19.669449,200.9094,153,153,0.0699,KAMA/FRAMA,-1,,,
10,SMA,22,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,19.316610,217.8450,197,197,0.3776,SMA/DEMA,-1,,,
11,KAMA,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,19.177656,191.7766,103,103,0.0000,KAMA/TEMA,-1,,,
12,KAMA,20,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,18.836492,188.3649,105,105,0.0000,KAMA/TEMA,-1,,,
13,VIDYA,14,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,18.004678,180.0468,133,133,0.0000,VIDYA/EMA,-1,,,
14,VIDYA,16,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,12.902939,129.0294,105,105,0.0000,VIDYA/EMA,-1,,,
C0_1,KAMA,16,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,10.140321,70.8167,34,0,0.0000,KAMA/ZLEMA,0,10.1403,46.3544,34
C0_2,VWMA,18,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,10.131897,133.2686,33,0,0.0000,VWMA/TEMA,0,10.1319,46.2269,33
C0_3,VWMA,22,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,8.172924,68.1011,36,0,0.0000,VWMA/TEMA,0,8.1729,37.6988,36
C0_4,KAMA,20,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,6.840232,217.2793,30,0,0.0000,KAMA/DEMA,0,6.8402,48.4542,30
C0_5,KAMA,10,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,5.883537,102.4772,39,0,0.0000,KAMA/DEMA,0,5.8835,46.5831,39
C0_6,KAMA,16,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,4.765234,71.4375,37,0,0.0000,KAMA/ZLEMA,0,4.7652,40.7299,37
C1_1,T3,24,0.8,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,4.456543,30.5858,43,0,0.0000,T3/ZLEMA,1,4.4565,32.4877,43
C1_2,ALMA,24,0.85,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,3.987278,129.0887,44,0,0.0000,ALMA/TEMA,1,3.9873,38.2397,44
C1_3,VIDYA,20,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,3.651512,203.1413,31,0,0.0000,VIDYA/FRAMA,1,3.6515,42.3138,31
C1_4,VIDYA,18,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,3.000338,179.0517,33,0,0.0000,VIDYA/FRAMA,1,3.0003,40.8392,33
C1_5,T3,18,0.7,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,2.795017,105.5683,65,0,0.0000,T3/ZLEMA,1,2.7950,37.3413,65
C2_1,VIDYA,24,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,19.869624,109.4382,32,0,0.0000,VIDYA/FRAMA,2,19.8696,67.3275,32
