rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,18,0.0,0.0,DEMA,51,0.0,0.0,DEMA,204,0.0,0.0,35.048166,350.4817,83,83,0.0000,VIDYA/DEMA,-1,,,
2,VIDYA,18,0.0,0.0,DEMA,48,0.0,0.0,DEMA,192,0.0,0.0,28.934200,289.3420,81,81,0.0000,VIDYA/DEMA,-1,,,
3,VIDYA,22,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,27.909608,279.0961,79,79,0.0000,VIDYA/TEMA,-1,,,
4,VIDYA,24,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,25.774345,257.7435,77,77,0.0000,VIDYA/TEMA,-1,,,
5,McGinley,22,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,22.665906,318.2542,241,241,0.9593,McGinley/FRAMA,-1,,,
6,VIDYA,22,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,22.325604,223.2560,97,97,0.0000,VIDYA/FRAMA,-1,,,
7,VIDYA,18,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,21.754414,217.5441,63,63,0.0000,VIDYA/KAMA,-1,,,
8,VIDYA,18,0.0,0.0,ALMA,30,0.85,4.0,ALMA,120,0.85,4.0,21.336346,213.3635,103,103,0.0000,VIDYA/ALMA,-1,,,
9,VIDYA,22,0.0,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,20.835275,208.3528,101,101,0.0000,VIDYA/JMA,-1,,,
10,VIDYA,20,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,20.492792,204.9279,101,101,0.0000,VIDYA/ALMA,-1,,,
11,VIDYA,20,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,18.852530,188.5253,89,89,0.0000,VIDYA/FRAMA,-1,,,
