rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,18,0.0,0.0,EMA,75,0.0,0.0,EMA,300,0.0,0.0,38.259166,382.5917,99,99,0.0000,VIDYA/EMA,-1,,,
2,ALMA,20,0.5,6.0,T3,36,0.7,0.0,T3,144,0.7,0.0,34.967030,357.0289,140,140,0.0687,ALMA/T3,-1,,,
3,ALMA,24,0.5,6.0,T3,42,0.7,0.0,T3,168,0.7,0.0,30.582542,305.8254,120,120,0.0000,ALMA/T3,-1,,,
4,T3,16,0.7,0.0,T3,42,0.7,0.0,T3,168,0.7,0.0,30.522933,305.2293,89,89,0.0000,T3/T3,-1,,,
5,VIDYA,18,0.0,0.0,EMA,72,0.0,0.0,EMA,288,0.0,0.0,30.503223,305.0322,89,89,0.0000,VIDYA/EMA,-1,,,
6,T3,12,0.8,0.0,DEMA,49,0.0,0.0,DEMA,196,0.0,0.0,30.334000,358.3187,198,198,0.5115,T3/DEMA,-1,,,
7,ALMA,20,0.5,6.0,ALMA,60,0.5,4.0,ALMA,240,0.5,4.0,29.780234,297.8023,129,129,0.0000,ALMA/ALMA,-1,,,
8,T3,24,0.7,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,29.756581,297.5658,84,84,0.0000,T3/T3,-1,,,
9,Tenkan,24,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,29.296360,309.2525,154,154,0.1756,Tenkan/T3,-1,,,
10,ALMA,20,0.5,6.0,ALMA,69,0.5,6.0,ALMA,276,0.5,6.0,28.670689,286.7069,123,123,0.0000,ALMA/ALMA,-1,,,
11,ALMA,18,0.5,6.0,SMA,54,0.0,0.0,SMA,216,0.0,0.0,28.238398,284.9946,135,135,0.0305,ALMA/SMA,-1,,,
12,ALMA,20,0.5,6.0,SMA,51,0.0,0.0,SMA,204,0.0,0.0,27.796514,283.1527,139,139,0.0611,ALMA/SMA,-1,,,
13,T3,12,0.8,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,22.503321,247.1027,170,170,0.2977,T3/DEMA,-1,,,
14,Tenkan,24,0.0,0.0,T3,33,0.7,0.0,T3,132,0.7,0.0,21.666457,234.3770,164,164,0.2519,Tenkan/T3,-1,,,
C0_1,VIDYA,18,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,5.638431,7.8171,39,0,0.0000,VIDYA/ALMA,0,5.6384,80.8614,39
C0_2,VIDYA,20,0.0,0.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,4.780237,6.6063,38,0,0.0000,VIDYA/HMA,0,4.7802,70.5700,38
C0_3,EMA,24,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,4.549642,-22.3387,35,0,0.0000,EMA/DEMA,0,4.5496,76.9147,35
C0_4,EMA,24,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,4.275403,-11.1131,32,0,0.0000,EMA/DEMA,0,4.2754,69.0462,32
C0_5,VIDYA,20,0.0,0.0,HMA,33,0.0,0.0,HMA,132,0.0,0.0,4.096232,-10.2512,36,0,0.0000,VIDYA/HMA,0,4.0962,59.4474,36
C0_6,VIDYA,14,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,3.252312,-30.1261,34,0,0.0000,VIDYA/ALMA,0,3.2523,54.4003,34
C1_1,Tenkan,24,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,3.328113,56.7359,38,0,0.0000,Tenkan/KAMA,1,3.3281,66.6083,38
C1_2,SMA,18,0.0,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,3.059062,118.4625,31,0,0.0000,SMA/EMA,1,3.0591,48.6002,31
C1_3,VIDYA,22,0.0,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,2.970464,-20.1277,30,0,0.0000,VIDYA/HMA,1,2.9705,52.9169,30
C1_4,Tenkan,24,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,2.568858,166.7927,30,0,0.0000,Tenkan/KAMA,1,2.5689,41.7987,30
C1_5,SMA,18,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,2.356057,143.6572,39,0,0.0000,SMA/EMA,1,2.3561,45.6866,39
C2_1,T3,12,0.8,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,5.991754,230.9695,33,0,0.0000,T3/TEMA,2,5.9918,63.8259,33
C2_2,VWMA,20,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,4.930820,-1.7321,39,0,0.0000,VWMA/TEMA,2,4.9308,61.1766,39
C2_3,T3,12,0.8,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,4.742006,138.0191,30,0,0.0000,T3/TEMA,2,4.7420,53.0846,30
C2_4,ALMA,24,0.5,6.0,T3,30,0.8,0.0,T3,120,0.8,0.0,4.500041,206.0971,33,0,0.0000,ALMA/T3,2,4.5000,59.9534,33
C2_5,VWMA,20,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,3.663683,-41.1590,43,0,0.0000,VWMA/TEMA,2,3.6637,55.4509,43
