rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,EMA,16,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,64.445864,198.5488,117,117,0.0000,EMA/KAMA,-1,,,
2,McGinley,22,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,53.301632,164.2150,117,117,0.0000,McGinley/KAMA,-1,,,
3,T3,22,0.7,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,46.608181,143.5934,108,108,0.0000,T3/KAMA,-1,,,
4,FRAMA,8,0.0,0.0,JMA,33,0.0,2.0,JMA,132,0.0,2.0,45.892856,201.9851,342,342,1.0000,FRAMA/JMA,-1,,,
5,VIDYA,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,45.130233,139.0400,115,115,0.0000,VIDYA/KAMA,-1,,,
6,T3,22,0.7,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,42.169954,129.9198,106,106,0.0000,T3/KAMA,-1,,,
7,T3,20,0.7,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,41.398796,176.0576,259,259,0.9185,T3/FRAMA,-1,,,
8,McGinley,12,0.0,0.0,HMA,48,0.0,0.0,HMA,192,0.0,0.0,39.376569,160.5624,245,245,0.8148,McGinley/HMA,-1,,,
9,T3,16,0.7,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,38.513083,169.5050,298,298,1.0000,T3/FRAMA,-1,,,
10,VIDYA,10,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,37.549770,115.6857,111,111,0.0000,VIDYA/KAMA,-1,,,
11,McGinley,12,0.0,0.0,HMA,51,0.0,0.0,HMA,204,0.0,0.0,36.626371,147.6115,241,241,0.7852,McGinley/HMA,-1,,,
12,McGinley,22,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,36.322765,111.9054,117,117,0.0000,McGinley/KAMA,-1,,,
13,EMA,22,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,34.665308,106.7990,131,131,0.0000,EMA/KAMA,-1,,,
14,FRAMA,8,0.0,0.0,JMA,36,0.0,2.0,JMA,144,0.0,2.0,32.386998,142.5427,321,321,1.0000,FRAMA/JMA,-1,,,
C0_1,ALMA,22,0.85,4.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,4.995105,-7.6377,33,0,0.0000,ALMA/TEMA,0,4.9951,76.2003,33
C0_2,EMA,24,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,3.961250,112.4143,33,0,0.0000,EMA/KAMA,0,3.9612,100.0550,33
C0_3,EMA,18,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,3.472794,51.6123,31,0,0.0000,EMA/DEMA,0,3.4728,70.4096,31
C0_4,EMA,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,3.126027,93.2605,34,0,0.0000,EMA/KAMA,0,3.1260,86.7076,34
C0_5,ALMA,20,0.85,4.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,2.975872,-37.3608,33,0,0.0000,ALMA/TEMA,0,2.9759,56.6603,33
C0_6,EMA,16,0.0,0.0,DEMA,72,0.0,0.0,DEMA,288,0.0,0.0,2.581859,14.2427,32,0,0.0000,EMA/DEMA,0,2.5819,57.9736,32
C1_1,VIDYA,24,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,6.898520,5.2306,30,0,0.0000,VIDYA/KAMA,1,6.8985,93.4045,30
C1_2,VIDYA,22,0.0,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,5.904967,-49.8587,30,0,0.0000,VIDYA/EMA,1,5.9050,90.2030,30
C1_3,VIDYA,24,0.0,0.0,VWMA,48,0.0,0.0,VWMA,192,0.0,0.0,5.689305,17.5861,34,0,0.0000,VIDYA/VWMA,1,5.6893,102.0163,34
C1_4,VIDYA,24,0.0,0.0,VWMA,51,0.0,0.0,VWMA,204,0.0,0.0,4.278834,-18.1322,33,0,0.0000,VIDYA/VWMA,1,4.2788,92.9752,33
C1_5,VIDYA,20,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,3.299770,18.8496,33,0,0.0000,VIDYA/KAMA,1,3.2998,75.3400,33
C2_1,SMA,22,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,4.462224,-31.5052,31,0,0.0000,SMA/ZLEMA,2,4.4622,56.3023,31
C2_2,VIDYA,14,0.0,0.0,Tenkan,33,0.0,0.0,Tenkan,132,0.0,0.0,3.853441,16.7005,33,0,0.0000,VIDYA/Tenkan,2,3.8534,70.0452,33
C2_3,KAMA,18,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,3.819486,-28.9505,32,0,0.0000,KAMA/ZLEMA,2,3.8195,70.9343,32
C2_4,KAMA,18,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,3.402907,4.5454,37,0,0.0000,KAMA/ZLEMA,2,3.4029,76.8187,37
C2_5,VIDYA,14,0.0,0.0,Tenkan,30,0.0,0.0,Tenkan,120,0.0,0.0,3.228918,-23.0133,34,0,0.0000,VIDYA/Tenkan,2,3.2289,65.7778,34
C2_6,SMA,20,0.0,0.0,ZLEMA,30,0.0,0.0,ZLEMA,120,0.0,0.0,2.797215,-3.8728,32,0,0.0000,SMA/ZLEMA,2,2.7972,53.8410,32
