rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,18,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,50.667385,506.6738,81,81,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,18,0.0,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,30.564345,305.6434,71,71,0.0000,VIDYA/KAMA,-1,,,
3,KAMA,14,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,29.902796,392.5117,235,235,0.7939,KAMA/FRAMA,-1,,,
4,McGinley,22,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,28.385278,363.8426,227,227,0.7328,McGinley/FRAMA,-1,,,
5,EMA,24,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,27.808132,320.6748,189,189,0.4427,EMA/FRAMA,-1,,,
6,KAMA,18,0.0,0.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,27.031613,305.2708,181,181,0.3817,KAMA/HMA,-1,,,
7,KAMA,16,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,23.729435,272.2028,187,187,0.4275,KAMA/ZLEMA,-1,,,
8,KAMA,16,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,22.996198,286.3595,217,217,0.6565,KAMA/FRAMA,-1,,,
9,KAMA,16,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,22.137177,255.2791,189,189,0.4427,KAMA/ZLEMA,-1,,,
10,McGinley,24,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,21.106824,240.8531,185,185,0.4122,McGinley/FRAMA,-1,,,
11,KAMA,14,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,20.500498,265.8976,231,231,0.7634,KAMA/ALMA,-1,,,
12,KAMA,12,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,13.671255,195.3036,265,265,1.0000,KAMA/ALMA,-1,,,
