rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,ALMA,22,0.5,4.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,19.907378,284.3911,351,351,1.0000,ALMA/FRAMA,-1,,,
2,McGinley,24,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,18.120972,204.8071,191,191,0.3841,McGinley/FRAMA,-1,,,
3,T3,24,0.7,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,17.114044,178.1100,156,156,0.1304,T3/KAMA,-1,,,
4,T3,22,0.7,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,16.238069,162.3807,96,96,0.0000,T3/KAMA,-1,,,
5,T3,22,0.8,0.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,15.882684,162.7179,149,149,0.0797,T3/SMA,-1,,,
6,McGinley,24,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,15.169330,187.5777,226,226,0.6377,McGinley/FRAMA,-1,,,
7,T3,20,0.7,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,14.961543,149.6154,116,116,0.0000,T3/EMA,-1,,,
8,ALMA,22,0.5,6.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,14.790890,190.5829,241,241,0.7464,ALMA/KAMA,-1,,,
9,T3,20,0.7,0.0,EMA,54,0.0,0.0,EMA,216,0.0,0.0,14.730534,147.3053,106,106,0.0000,T3/EMA,-1,,,
10,VIDYA,10,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,14.627628,177.5385,219,219,0.5870,VIDYA/FRAMA,-1,,,
11,T3,20,0.8,0.0,SMA,30,0.0,0.0,SMA,120,0.0,0.0,14.133070,147.4198,157,157,0.1377,T3/SMA,-1,,,
12,VIDYA,10,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,13.674980,171.4030,231,231,0.6739,VIDYA/FRAMA,-1,,,
13,ALMA,22,0.5,4.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,13.038505,186.2644,349,349,1.0000,ALMA/FRAMA,-1,,,
14,ALMA,22,0.5,6.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,10.675192,130.9490,223,223,0.6159,ALMA/KAMA,-1,,,
C0_1,ALMA,22,0.5,6.0,ALMA,60,0.85,4.0,ALMA,240,0.85,4.0,14.022693,20.0897,30,0,0.0000,ALMA/ALMA,0,14.0227,69.9444,30
C0_2,ALMA,22,0.5,4.0,ALMA,54,0.85,4.0,ALMA,216,0.85,4.0,8.330721,0.4996,30,0,0.0000,ALMA/ALMA,0,8.3307,63.3417,30
C0_3,T3,12,0.7,0.0,VWMA,30,0.0,0.0,VWMA,120,0.0,0.0,7.770027,-26.1770,30,0,0.0000,T3/VWMA,0,7.7700,74.2645,30
C0_4,T3,10,0.7,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,7.409398,11.3393,40,0,0.0000,T3/ALMA,0,7.4094,84.9033,40
C0_5,T3,10,0.7,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,5.395396,-45.0793,30,0,0.0000,T3/ALMA,0,5.3954,62.9956,30
C1_1,VIDYA,14,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,13.259498,-44.3350,30,0,0.0000,VIDYA/TEMA,1,13.2595,60.4601,30
C1_2,VIDYA,16,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,12.010860,-12.7893,33,0,0.0000,VIDYA/FRAMA,1,12.0109,79.5877,33
C1_3,VIDYA,18,0.0,0.0,JMA,33,0.0,2.0,JMA,132,0.0,2.0,11.534166,-3.1982,32,0,0.0000,VIDYA/JMA,1,11.5342,58.3555,32
C1_4,VIDYA,12,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,9.473254,-40.2640,32,0,0.0000,VIDYA/TEMA,1,9.4733,50.7804,32
C1_5,VIDYA,16,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,5.907891,-21.8078,30,0,0.0000,VIDYA/FRAMA,1,5.9079,68.9895,30
C1_6,VIDYA,18,0.0,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,5.707601,-28.8395,32,0,0.0000,VIDYA/JMA,1,5.7076,45.4256,32
C2_1,VIDYA,18,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,4.154035,2.9512,44,0,0.0000,VIDYA/FRAMA,2,4.1540,89.4851,44
C2_2,VIDYA,22,0.0,0.0,EMA,54,0.0,0.0,EMA,216,0.0,0.0,4.044974,-64.1544,30,0,0.0000,VIDYA/EMA,2,4.0450,66.6930,30
C2_3,VIDYA,22,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,4.021539,-44.4966,31,0,0.0000,VIDYA/McGinley,2,4.0215,59.8998,31
C2_4,VIDYA,16,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,3.096420,48.4628,59,0,0.0000,VIDYA/FRAMA,2,3.0964,91.1168,59
C2_5,VIDYA,22,0.0,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,2.864925,-57.0101,33,0,0.0000,VIDYA/EMA,2,2.8649,58.4067,33
