rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,KAMA,20,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,34.100909,345.2955,151,151,0.0414,KAMA/DEMA,-1,,,
2,KAMA,20,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,33.113627,331.1363,143,143,0.0000,KAMA/DEMA,-1,,,
3,EMA,12,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,31.436541,314.3654,115,115,0.0000,EMA/TEMA,-1,,,
4,VIDYA,12,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,31.010556,318.0008,157,157,0.0828,VIDYA/FRAMA,-1,,,
5,T3,22,0.7,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,29.449925,341.8926,212,212,0.4621,T3/FRAMA,-1,,,
6,KAMA,20,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,28.871728,288.7173,131,131,0.0000,KAMA/TEMA,-1,,,
7,ALMA,14,0.5,4.0,HMA,42,0.0,0.0,HMA,168,0.0,0.0,28.203374,340.5070,228,228,0.5724,ALMA/HMA,-1,,,
8,McGinley,14,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,26.796914,267.9691,123,123,0.0000,McGinley/TEMA,-1,,,
9,KAMA,14,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,26.295293,277.9022,171,171,0.1793,KAMA/TEMA,-1,,,
10,McGinley,20,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,25.719354,257.1935,135,135,0.0000,McGinley/TEMA,-1,,,
11,ALMA,16,0.5,4.0,HMA,54,0.0,0.0,HMA,216,0.0,0.0,25.324326,277.3434,187,187,0.2897,ALMA/HMA,-1,,,
12,EMA,14,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,22.861457,228.6146,113,113,0.0000,EMA/TEMA,-1,,,
13,VIDYA,14,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,21.159453,211.5945,127,127,0.0000,VIDYA/FRAMA,-1,,,
14,T3,22,0.7,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,19.014986,219.6951,210,210,0.4483,T3/FRAMA,-1,,,
C0_1,ALMA,12,0.5,4.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,3.830477,41.2760,64,0,0.0000,ALMA/TEMA,0,3.8305,77.8201,64
C0_2,SMA,14,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,3.709052,225.1683,57,0,0.0000,SMA/ZLEMA,0,3.7091,72.2955,57
C0_3,ALMA,14,0.5,4.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,3.343965,39.4074,62,0,0.0000,ALMA/TEMA,0,3.3440,69.0192,62
