rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,22,0.7,0.0,SSmoother,66,0.0,0.0,SSmoother,264,0.0,0.0,68.097257,680.9726,102,102,0.0000,T3/SSmoother,-1,,,
2,T3,20,0.7,0.0,EMA,42,0.0,0.0,EMA,168,0.0,0.0,53.740592,538.5357,144,144,0.0070,T3/EMA,-1,,,
3,T3,20,0.7,0.0,ALMA,72,0.85,6.0,ALMA,288,0.85,6.0,51.590446,528.0912,154,154,0.0769,T3/ALMA,-1,,,
4,T3,22,0.7,0.0,ALMA,63,0.85,4.0,ALMA,252,0.85,4.0,50.125610,513.0968,154,154,0.0769,T3/ALMA,-1,,,
5,T3,16,0.7,0.0,SSmoother,45,0.0,0.0,SSmoother,180,0.0,0.0,45.637786,474.2880,161,161,0.1259,T3/SSmoother,-1,,,
6,T3,24,0.8,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,44.815934,454.8388,150,150,0.0490,T3/EMA,-1,,,
7,T3,24,0.7,0.0,McGinley,39,0.0,0.0,McGinley,156,0.0,0.0,42.182718,426.2988,148,148,0.0350,T3/McGinley,-1,,,
8,T3,20,0.7,0.0,McGinley,49,0.0,0.0,McGinley,196,0.0,0.0,41.225927,412.2593,110,110,0.0000,T3/McGinley,-1,,,
9,T3,20,0.8,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,40.413381,411.9112,152,152,0.0629,T3/KAMA,-1,,,
10,T3,24,0.8,0.0,SMA,33,0.0,0.0,SMA,132,0.0,0.0,39.047692,390.4769,134,134,0.0000,T3/SMA,-1,,,
11,ALMA,24,0.5,6.0,T3,48,0.8,0.0,T3,192,0.8,0.0,38.516714,385.1671,113,113,0.0000,ALMA/T3,-1,,,
12,T3,24,0.8,0.0,SMA,69,0.0,0.0,SMA,276,0.0,0.0,36.960815,369.6082,70,70,0.0000,T3/SMA,-1,,,
13,T3,24,0.8,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,35.291903,352.9190,88,88,0.0000,T3/KAMA,-1,,,
14,ALMA,18,0.5,4.0,T3,57,0.7,0.0,T3,228,0.7,0.0,23.070558,230.7056,83,83,0.0000,ALMA/T3,-1,,,
C0_1,ALMA,22,0.5,6.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,7.613922,-58.5429,34,0,0.0000,ALMA/TEMA,0,7.6139,33.3247,34
C0_2,SMA,16,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,7.088365,-42.0804,33,0,0.0000,SMA/TEMA,0,7.0884,45.7807,33
