rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,KAMA,22,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,70.174466,701.7447,114,114,0.0000,KAMA/KAMA,-1,,,
2,VIDYA,18,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,50.933616,509.3362,89,89,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,18,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,43.047609,430.4761,85,85,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,24,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,35.413862,354.1386,87,87,0.0000,VIDYA/FRAMA,-1,,,
5,VIDYA,22,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,35.343453,353.4345,79,79,0.0000,VIDYA/EMA,-1,,,
6,SMA,24,0.0,0.0,ZLEMA,72,0.0,0.0,ZLEMA,288,0.0,0.0,35.016367,353.4009,135,135,0.0305,SMA/ZLEMA,-1,,,
7,VIDYA,22,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,34.735278,347.3528,73,73,0.0000,VIDYA/TEMA,-1,,,
8,VIDYA,20,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,34.392727,343.9273,87,87,0.0000,VIDYA/EMA,-1,,,
9,KAMA,20,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,31.108114,311.0811,102,102,0.0000,KAMA/KAMA,-1,,,
10,VIDYA,14,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,30.939783,322.7000,149,149,0.1374,VIDYA/FRAMA,-1,,,
11,SMA,16,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,30.489738,325.7876,159,159,0.2137,SMA/TEMA,-1,,,
12,SMA,16,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,28.752362,299.8853,149,149,0.1374,SMA/TEMA,-1,,,
13,VIDYA,24,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,27.240772,272.4077,71,71,0.0000,VIDYA/TEMA,-1,,,
14,SMA,24,0.0,0.0,ZLEMA,69,0.0,0.0,ZLEMA,276,0.0,0.0,20.548812,206.4336,133,133,0.0153,SMA/ZLEMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,McGinley,36,0.0,0.0,McGinley,144,0.0,0.0,10.167623,98.7582,30,0,0.0000,VIDYA/McGinley,0,10.1676,90.3553,30
C0_2,VIDYA,24,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,7.269196,354.1386,53,0,0.0000,VIDYA/FRAMA,0,7.2692,115.5821,53
C0_3,VIDYA,22,0.0,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,7.193077,137.6678,37,0,0.0000,VIDYA/DEMA,0,7.1931,110.8208,37
C0_4,VIDYA,18,0.0,0.0,DEMA,69,0.0,0.0,DEMA,276,0.0,0.0,7.085136,96.9612,34,0,0.0000,VIDYA/DEMA,0,7.0851,91.8464,34
C0_5,VIDYA,24,0.0,0.0,McGinley,30,0.0,0.0,McGinley,120,0.0,0.0,5.298621,214.0965,37,0,0.0000,VIDYA/McGinley,0,5.2986,100.1356,37
C0_6,VIDYA,20,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,4.751817,195.5706,55,0,0.0000,VIDYA/FRAMA,0,4.7518,90.1804,55
C1_1,SMA,18,0.0,0.0,ALMA,42,0.85,4.0,ALMA,168,0.85,4.0,4.086447,9.1454,34,0,0.0000,SMA/ALMA,1,4.0864,74.2621,34
C1_2,KAMA,8,0.0,0.0,FRAMA,69,0.0,0.0,FRAMA,276,0.0,0.0,3.823872,26.7926,41,0,0.0000,KAMA/FRAMA,1,3.8239,77.3168,41
C1_3,FRAMA,22,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,3.668979,137.6931,37,0,0.0000,FRAMA/FRAMA,1,3.6690,97.5218,37
C1_4,SMA,18,0.0,0.0,ALMA,39,0.85,4.0,ALMA,156,0.85,4.0,3.631204,29.2094,43,0,0.0000,SMA/ALMA,1,3.6312,69.6512,43
C1_5,FRAMA,22,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,3.481766,138.9065,40,0,0.0000,FRAMA/FRAMA,1,3.4818,95.3851,40
C1_6,KAMA,8,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,2.789752,53.0743,32,0,0.0000,KAMA/FRAMA,1,2.7898,62.4244,32
C2_1,VIDYA,16,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,12.713907,213.0134,31,0,0.0000,VIDYA/FRAMA,2,12.7139,68.1048,31
C2_2,VIDYA,20,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,10.651263,83.1605,30,0,0.0000,VIDYA/FRAMA,2,10.6513,71.3294,30
C2_3,VIDYA,18,0.0,0.0,HMA,30,0.0,0.0,HMA,120,0.0,0.0,7.963101,114.5498,31,0,0.0000,VIDYA/HMA,2,7.9631,63.3843,31
C2_4,ALMA,22,0.5,4.0,ZLEMA,49,0.0,0.0,ZLEMA,196,0.0,0.0,6.257135,17.1911,30,0,0.0000,ALMA/ZLEMA,2,6.2571,26.7934,30
C2_5,ALMA,22,0.5,4.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,4.383088,17.3845,30,0,0.0000,ALMA/ZLEMA,2,4.3831,32.3949,30
