rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,20,0.0,0.0,KAMA,60,0.0,0.0,KAMA,240,0.0,0.0,20.061276,200.6128,58,58,0.0000,VIDYA/KAMA,-1,,,
2,McGinley,24,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,18.334311,183.3431,24,24,0.0000,McGinley/EMA,-1,,,
3,VIDYA,20,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,15.966663,159.6666,60,60,0.0000,VIDYA/KAMA,-1,,,
4,McGinley,14,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,12.981056,185.4437,279,279,1.0000,McGinley/FRAMA,-1,,,
5,T3,22,0.8,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,12.608918,131.7350,128,128,0.1429,T3/KAMA,-1,,,
6,T3,22,0.7,0.0,FRAMA,49,0.0,0.0,FRAMA,196,0.0,0.0,12.437891,177.6842,248,248,1.0000,T3/FRAMA,-1,,,
7,T3,22,0.7,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,12.192245,127.3817,128,128,0.1429,T3/KAMA,-1,,,
8,McGinley,22,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,11.879952,119.7619,115,115,0.0268,McGinley/KAMA,-1,,,
9,McGinley,12,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,10.896161,155.6594,351,351,1.0000,McGinley/FRAMA,-1,,,
10,KAMA,8,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,10.526571,150.3796,267,267,1.0000,KAMA/FRAMA,-1,,,
11,T3,20,0.7,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,10.167328,145.2475,280,280,1.0000,T3/FRAMA,-1,,,
12,KAMA,8,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,8.448623,120.6946,332,332,1.0000,KAMA/FRAMA,-1,,,
13,McGinley,24,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,5.163792,51.6379,88,88,0.0000,McGinley/EMA,-1,,,
14,McGinley,24,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,5.090658,50.9066,108,108,0.0000,McGinley/KAMA,-1,,,
C0_1,DEMA,12,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,4.278841,-14.4058,35,0,0.0000,DEMA/FRAMA,0,4.2788,56.4787,35
C0_2,EMA,8,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,3.815889,-22.9665,30,0,0.0000,EMA/FRAMA,0,3.8159,53.7017,30
C0_3,ALMA,10,0.85,4.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,3.698836,20.9245,46,0,0.0000,ALMA/FRAMA,0,3.6988,56.1771,46
C0_4,DEMA,10,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,3.638066,-0.7199,30,0,0.0000,DEMA/FRAMA,0,3.6381,48.2889,30
C0_5,ALMA,24,0.85,4.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,3.100331,7.4596,34,0,0.0000,ALMA/FRAMA,0,3.1003,51.9595,34
C0_6,EMA,10,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,2.740443,-32.7620,40,0,0.0000,EMA/FRAMA,0,2.7404,44.1851,40
C1_1,TEMA,8,0.0,0.0,VIDYA,75,0.0,0.0,VIDYA,300,0.0,0.0,3.319627,32.5131,33,0,0.0000,TEMA/VIDYA,1,3.3196,59.3689,33
C1_2,TEMA,12,0.0,0.0,VIDYA,72,0.0,0.0,VIDYA,288,0.0,0.0,3.098149,-5.5935,30,0,0.0000,TEMA/VIDYA,1,3.0981,57.8522,30
C1_3,HMA,8,0.0,0.0,VIDYA,75,0.0,0.0,VIDYA,300,0.0,0.0,3.079169,42.5204,30,0,0.0000,HMA/VIDYA,1,3.0792,56.6045,30
C1_4,HMA,16,0.0,0.0,VIDYA,69,0.0,0.0,VIDYA,276,0.0,0.0,3.040125,7.1091,32,0,0.0000,HMA/VIDYA,1,3.0401,60.0197,32
C1_5,ZLEMA,10,0.0,0.0,VIDYA,75,0.0,0.0,VIDYA,300,0.0,0.0,2.946007,42.7577,30,0,0.0000,ZLEMA/VIDYA,1,2.9460,54.8678,30
C1_6,ZLEMA,12,0.0,0.0,VIDYA,63,0.0,0.0,VIDYA,252,0.0,0.0,2.821339,13.7805,30,0,0.0000,ZLEMA/VIDYA,1,2.8213,55.9719,30
C2_1,SMA,18,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,6.164005,-25.1977,38,0,0.0000,SMA/ZLEMA,2,6.1640,50.5970,38
C2_2,T3,12,0.7,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,6.160179,-47.2893,31,0,0.0000,T3/ZLEMA,2,6.1602,33.1710,31
C2_3,ALMA,18,0.5,6.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,6.015746,-0.9681,32,0,0.0000,ALMA/ZLEMA,2,6.0157,40.2133,32
C2_4,ALMA,16,0.5,6.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,3.822739,7.5473,53,0,0.0000,ALMA/ZLEMA,2,3.8227,55.3793,53
C2_5,SMA,12,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,3.812215,20.0498,39,0,0.0000,SMA/ZLEMA,2,3.8122,41.7545,39
C2_6,T3,24,0.7,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,3.751153,-21.5698,36,0,0.0000,T3/ZLEMA,2,3.7512,46.0698,36
