rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,22,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,52.270385,614.1878,214,214,0.4965,McGinley/FRAMA,-1,,,
2,VIDYA,14,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,37.702492,377.0249,121,121,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,34.461800,344.6180,131,131,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,12,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,31.970111,335.9093,166,166,0.1608,VIDYA/FRAMA,-1,,,
5,EMA,24,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,23.453671,292.9148,238,238,0.6643,EMA/FRAMA,-1,,,
6,VIDYA,16,0.0,0.0,McGinley,36,0.0,0.0,McGinley,144,0.0,0.0,23.297138,232.9714,98,98,0.0000,VIDYA/McGinley,-1,,,
7,VIDYA,16,0.0,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,20.912463,209.1246,106,106,0.0000,VIDYA/EMA,-1,,,
8,VIDYA,14,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,20.086149,209.2002,162,162,0.1329,VIDYA/FRAMA,-1,,,
9,McGinley,20,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,20.079432,249.4664,236,236,0.6503,McGinley/FRAMA,-1,,,
10,EMA,24,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,18.528319,229.0017,234,234,0.6364,EMA/FRAMA,-1,,,
11,SMA,14,0.0,0.0,TEMA,66,0.0,0.0,TEMA,264,0.0,0.0,17.591389,185.6508,168,168,0.1748,SMA/TEMA,-1,,,
12,VIDYA,16,0.0,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,16.472470,164.7247,108,108,0.0000,VIDYA/EMA,-1,,,
13,VIDYA,16,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,15.136420,151.3642,106,106,0.0000,VIDYA/McGinley,-1,,,
14,SMA,16,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,14.785355,154.6676,164,164,0.1469,SMA/TEMA,-1,,,
C0_1,VIDYA,14,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,4.367767,78.7576,31,0,0.0000,VIDYA/ALMA,0,4.3678,36.6765,31
C0_2,SMA,22,0.0,0.0,ZLEMA,60,0.0,0.0,ZLEMA,240,0.0,0.0,3.569046,17.5958,32,0,0.0000,SMA/ZLEMA,0,3.5690,32.0632,32
C0_3,ALMA,24,0.85,4.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,3.314558,34.7756,39,0,0.0000,ALMA/DEMA,0,3.3146,34.0400,39
C0_4,SMA,20,0.0,0.0,ZLEMA,57,0.0,0.0,ZLEMA,228,0.0,0.0,3.206831,5.2066,35,0,0.0000,SMA/ZLEMA,0,3.2068,31.6447,35
C0_5,VIDYA,10,0.0,0.0,ALMA,36,0.85,6.0,ALMA,144,0.85,6.0,2.138082,90.3047,73,0,0.0000,VIDYA/ALMA,0,2.1381,61.8531,73
C1_1,VIDYA,20,0.0,0.0,EMA,42,0.0,0.0,EMA,168,0.0,0.0,21.457120,124.7645,35,0,0.0000,VIDYA/EMA,1,21.4571,91.8512,35
C1_2,VIDYA,20,0.0,0.0,McGinley,39,0.0,0.0,McGinley,156,0.0,0.0,8.971433,66.0859,37,0,0.0000,VIDYA/McGinley,1,8.9714,83.9622,37
C1_3,VIDYA,16,0.0,0.0,McGinley,33,0.0,0.0,McGinley,132,0.0,0.0,7.820598,151.3642,41,0,0.0000,VIDYA/McGinley,1,7.8206,97.4370,41
C1_4,VIDYA,22,0.0,0.0,VWMA,45,0.0,0.0,VWMA,180,0.0,0.0,5.997066,109.6721,32,0,0.0000,VIDYA/VWMA,1,5.9971,78.4152,32
C1_5,VIDYA,20,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,5.320658,61.1186,39,0,0.0000,VIDYA/EMA,1,5.3207,78.2946,39
C1_6,VIDYA,20,0.0,0.0,VWMA,49,0.0,0.0,VWMA,196,0.0,0.0,4.387228,121.0902,34,0,0.0000,VIDYA/VWMA,1,4.3872,76.9339,34
C2_1,T3,10,0.7,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,5.869458,6.4170,31,0,0.0000,T3/ZLEMA,2,5.8695,24.1515,31
C2_2,FRAMA,22,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,5.659386,-5.1167,30,0,0.0000,FRAMA/FRAMA,2,5.6594,55.5485,30
C2_3,ALMA,8,0.5,6.0,HMA,36,0.0,0.0,HMA,144,0.0,0.0,5.038923,-60.6513,31,0,0.0000,ALMA/HMA,2,5.0389,31.3240,31
C2_4,FRAMA,20,0.0,0.0,FRAMA,72,0.0,0.0,FRAMA,288,0.0,0.0,4.062809,-24.7351,32,0,0.0000,FRAMA/FRAMA,2,4.0628,42.1939,32
C2_5,T3,8,0.7,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,3.458142,-54.3209,30,0,0.0000,T3/ZLEMA,2,3.4581,34.1229,30
C2_6,ALMA,10,0.5,6.0,HMA,45,0.0,0.0,HMA,180,0.0,0.0,3.340699,-55.4947,30,0,0.0000,ALMA/HMA,2,3.3407,36.2537,30
