rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,20,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,21.782398,217.8240,98,98,0.0000,VIDYA/FRAMA,-1,,,
2,VIDYA,18,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,18.901382,189.0138,104,104,0.0000,VIDYA/FRAMA,-1,,,
3,McGinley,24,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,18.827956,192.5734,159,159,0.0743,McGinley/ALMA,-1,,,
4,KAMA,24,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,17.791211,189.4316,178,178,0.2027,KAMA/FRAMA,-1,,,
5,KAMA,24,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,17.421568,191.7020,193,193,0.3041,KAMA/FRAMA,-1,,,
6,McGinley,22,0.0,0.0,ALMA,30,0.85,4.0,ALMA,120,0.85,4.0,16.717984,173.8764,167,167,0.1284,McGinley/ALMA,-1,,,
7,McGinley,24,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,16.676756,183.5063,193,193,0.3041,McGinley/FRAMA,-1,,,
8,McGinley,12,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,16.522236,165.2224,112,112,0.0000,McGinley/TEMA,-1,,,
9,EMA,24,0.0,0.0,JMA,30,0.0,2.0,JMA,120,0.0,2.0,16.442219,185.9013,205,205,0.3851,EMA/JMA,-1,,,
10,McGinley,20,0.0,0.0,SSmoother,30,0.0,0.0,SSmoother,120,0.0,0.0,16.321787,200.1346,239,239,0.6149,McGinley/SSmoother,-1,,,
11,McGinley,24,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,15.581092,169.5589,188,188,0.2703,McGinley/FRAMA,-1,,,
12,McGinley,10,0.0,0.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,13.845165,138.4516,127,127,0.0000,McGinley/TEMA,-1,,,
13,EMA,22,0.0,0.0,JMA,45,0.0,2.0,JMA,180,0.0,2.0,8.758224,104.7872,229,229,0.5473,EMA/JMA,-1,,,
14,McGinley,22,0.0,0.0,SSmoother,33,0.0,0.0,SSmoother,132,0.0,0.0,7.768597,90.3183,217,217,0.4662,McGinley/SSmoother,-1,,,
C0_1,SMA,22,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,15.261607,22.0596,34,0,0.0000,SMA/ZLEMA,0,15.2616,46.3934,34
C0_2,McGinley,22,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,5.607296,48.6981,32,0,0.0000,McGinley/ZLEMA,0,5.6073,49.8757,32
C0_3,EMA,12,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,4.912404,23.1285,31,0,0.0000,EMA/TEMA,0,4.9124,48.8450,31
C0_4,McGinley,16,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,4.080799,81.4285,44,0,0.0000,McGinley/ZLEMA,0,4.0808,52.4066,44
C0_5,SMA,16,0.0,0.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,3.407083,89.8721,52,0,0.0000,SMA/ZLEMA,0,3.4071,47.9994,52
C0_6,EMA,16,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,3.100599,106.0956,32,0,0.0000,EMA/TEMA,0,3.1006,39.4407,32
C1_1,HMA,12,0.0,0.0,FRAMA,75,0.0,0.0,FRAMA,300,0.0,0.0,9.399804,-15.3766,30,0,0.0000,HMA/FRAMA,1,9.3998,73.3778,30
C1_2,HMA,8,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,5.284762,-38.9136,30,0,0.0000,HMA/FRAMA,1,5.2848,45.6858,30
C1_3,Tenkan,16,0.0,0.0,ALMA,36,0.85,4.0,ALMA,144,0.85,4.0,4.892057,-55.4699,32,0,0.0000,Tenkan/ALMA,1,4.8921,41.1261,32
C1_4,SSmoother,8,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,4.876891,-60.3914,33,0,0.0000,SSmoother/FRAMA,1,4.8769,47.7781,33
C1_5,SSmoother,10,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,3.989950,-75.8053,36,0,0.0000,SSmoother/FRAMA,1,3.9900,53.2050,36
C1_6,Tenkan,16,0.0,0.0,ALMA,49,0.85,6.0,ALMA,196,0.85,6.0,2.807302,-64.6178,30,0,0.0000,Tenkan/ALMA,1,2.8073,25.1738,30
C2_1,VIDYA,20,0.0,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,8.166474,128.8660,40,0,0.0000,VIDYA/DEMA,2,8.1665,115.5620,40
C2_2,VIDYA,16,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,8.040121,47.4188,38,0,0.0000,VIDYA/DEMA,2,8.0401,94.6715,38
C2_3,VIDYA,20,0.0,0.0,VWMA,42,0.0,0.0,VWMA,168,0.0,0.0,7.633711,17.2831,38,0,0.0000,VIDYA/VWMA,2,7.6337,85.2641,38
C2_4,VIDYA,24,0.0,0.0,EMA,49,0.0,0.0,EMA,196,0.0,0.0,7.584087,45.1779,31,0,0.0000,VIDYA/EMA,2,7.5841,79.8169,31
C2_5,VIDYA,22,0.0,0.0,EMA,45,0.0,0.0,EMA,180,0.0,0.0,7.374839,56.3734,35,0,0.0000,VIDYA/EMA,2,7.3748,84.1803,35
C2_6,VIDYA,24,0.0,0.0,VWMA,48,0.0,0.0,VWMA,192,0.0,0.0,5.818418,3.1016,36,0,0.0000,VIDYA/VWMA,2,5.8184,61.9140,36
