rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,14,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,43.416179,434.1618,129,129,0.0000,VIDYA/FRAMA,-1,,,
2,VIDYA,18,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,41.920509,419.2051,74,74,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,18,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,38.125804,381.2580,121,121,0.0000,VIDYA/VWMA,-1,,,
4,VIDYA,18,0.0,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,35.278054,352.7805,111,111,0.0000,VIDYA/VWMA,-1,,,
5,VIDYA,20,0.0,0.0,ALMA,69,0.5,6.0,ALMA,276,0.5,6.0,33.017359,330.1736,102,102,0.0000,VIDYA/ALMA,-1,,,
6,VIDYA,20,0.0,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,32.906463,329.0646,65,65,0.0000,VIDYA/KAMA,-1,,,
7,VIDYA,18,0.0,0.0,ALMA,63,0.5,4.0,ALMA,252,0.5,4.0,32.244145,322.4414,106,106,0.0000,VIDYA/ALMA,-1,,,
8,VWMA,24,0.0,0.0,T3,33,0.7,0.0,T3,132,0.7,0.0,31.311363,313.1136,124,124,0.0000,VWMA/T3,-1,,,
9,McGinley,10,0.0,0.0,TEMA,75,0.0,0.0,TEMA,300,0.0,0.0,29.398194,300.9815,139,139,0.0775,McGinley/TEMA,-1,,,
10,SMA,14,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,29.386058,293.8606,110,110,0.0000,SMA/T3,-1,,,
11,VWMA,24,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,27.463909,274.6391,106,106,0.0000,VWMA/T3,-1,,,
12,SMA,16,0.0,0.0,T3,36,0.8,0.0,T3,144,0.8,0.0,25.046963,250.4696,122,122,0.0000,SMA/T3,-1,,,
13,VIDYA,14,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,23.472557,239.1753,137,137,0.0620,VIDYA/FRAMA,-1,,,
14,McGinley,10,0.0,0.0,TEMA,72,0.0,0.0,TEMA,288,0.0,0.0,14.719648,152.8852,145,145,0.1240,McGinley/TEMA,-1,,,
C0_1,VIDYA,20,0.0,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,4.018152,-44.1306,33,0,0.0000,VIDYA/DEMA,0,4.0182,56.9262,33
C0_2,VIDYA,8,0.0,0.0,T3,57,0.8,0.0,T3,228,0.8,0.0,3.485906,55.3788,32,0,0.0000,VIDYA/T3,0,3.4859,72.4251,32
C0_3,McGinley,20,0.0,0.0,T3,54,0.8,0.0,T3,216,0.8,0.0,3.271894,155.1797,38,0,0.0000,McGinley/T3,0,3.2719,75.0921,38
C0_4,McGinley,22,0.0,0.0,T3,57,0.8,0.0,T3,228,0.8,0.0,3.210465,88.5555,33,0,0.0000,McGinley/T3,0,3.2105,68.4919,33
C0_5,VIDYA,10,0.0,0.0,T3,49,0.8,0.0,T3,196,0.8,0.0,3.006821,120.9620,38,0,0.0000,VIDYA/T3,0,3.0068,79.3838,38
C1_1,ALMA,16,0.5,6.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,8.667263,144.9955,37,0,0.0000,ALMA/EMA,1,8.6673,63.0260,37
C1_2,T3,12,0.7,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,6.977201,118.8192,35,0,0.0000,T3/TEMA,1,6.9772,64.2108,35
C1_3,ALMA,16,0.5,6.0,EMA,42,0.0,0.0,EMA,168,0.0,0.0,6.937455,152.0439,30,0,0.0000,ALMA/EMA,1,6.9375,49.9773,30
C1_4,T3,12,0.8,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,6.663774,126.7823,37,0,0.0000,T3/ALMA,1,6.6638,75.6908,37
C1_5,T3,14,0.7,0.0,ALMA,39,0.85,4.0,ALMA,156,0.85,4.0,6.180987,82.8673,31,0,0.0000,T3/ALMA,1,6.1810,74.9088,31
C1_6,T3,12,0.8,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,4.673663,151.2281,40,0,0.0000,T3/TEMA,1,4.6737,64.5986,40
C2_1,VIDYA,16,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,19.864045,25.5992,31,0,0.0000,VIDYA/FRAMA,2,19.8640,73.3410,31
C2_2,VIDYA,14,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,9.360760,116.0602,33,0,0.0000,VIDYA/FRAMA,2,9.3608,110.9080,33
C2_3,SMA,14,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,6.380624,13.8563,51,0,0.0000,SMA/ZLEMA,2,6.3806,122.2273,51
C2_4,SMA,18,0.0,0.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,5.787178,5.8053,32,0,0.0000,SMA/ZLEMA,2,5.7872,34.1432,32
C2_5,ALMA,20,0.85,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,5.231927,140.6848,41,0,0.0000,ALMA/TEMA,2,5.2319,117.1764,41
C2_6,ALMA,18,0.85,4.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,4.415368,54.3775,44,0,0.0000,ALMA/TEMA,2,4.4154,120.8478,44
