rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,48.235006,482.3501,105,105,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,39.412347,394.1235,114,114,0.0000,VIDYA/KAMA,-1,,,
3,Tenkan,24,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,21.214078,303.0583,356,356,1.0000,Tenkan/FRAMA,-1,,,
4,Tenkan,24,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,20.367945,290.9706,270,270,1.0000,Tenkan/KAMA,-1,,,
5,McGinley,20,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,18.886837,231.5825,218,218,0.6148,McGinley/FRAMA,-1,,,
6,Tenkan,24,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,18.294635,261.3519,362,362,1.0000,Tenkan/FRAMA,-1,,,
7,T3,24,0.8,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,17.852266,223.7749,226,226,0.6741,T3/FRAMA,-1,,,
8,T3,24,0.7,0.0,VWMA,54,0.0,0.0,VWMA,216,0.0,0.0,17.820191,192.3042,168,168,0.2444,T3/VWMA,-1,,,
9,VIDYA,24,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,17.711187,177.1119,81,81,0.0000,VIDYA/FRAMA,-1,,,
10,McGinley,22,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,17.561581,206.8773,203,203,0.5037,McGinley/FRAMA,-1,,,
11,VIDYA,20,0.0,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,17.197128,171.9713,96,96,0.0000,VIDYA/FRAMA,-1,,,
12,Tenkan,24,0.0,0.0,KAMA,57,0.0,0.0,KAMA,228,0.0,0.0,16.039700,162.9315,142,142,0.0519,Tenkan/KAMA,-1,,,
13,T3,22,0.7,0.0,VWMA,51,0.0,0.0,VWMA,204,0.0,0.0,11.031991,119.0503,168,168,0.2444,T3/VWMA,-1,,,
14,T3,22,0.7,0.0,FRAMA,45,0.0,0.0,FRAMA,180,0.0,0.0,10.901957,135.8970,224,224,0.6593,T3/FRAMA,-1,,,
C0_1,EMA,24,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,20.376461,21.7566,32,0,0.0000,EMA/ZLEMA,0,20.3765,77.3554,32
C0_2,McGinley,24,0.0,0.0,ZLEMA,51,0.0,0.0,ZLEMA,204,0.0,0.0,15.031241,-5.9654,30,0,0.0000,McGinley/ZLEMA,0,15.0312,53.3061,30
C0_3,McGinley,22,0.0,0.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,12.322920,-32.0356,32,0,0.0000,McGinley/ZLEMA,0,12.3229,56.3954,32
C0_4,EMA,20,0.0,0.0,ZLEMA,48,0.0,0.0,ZLEMA,192,0.0,0.0,7.159263,-31.6429,39,0,0.0000,EMA/ZLEMA,0,7.1593,70.0534,39
C0_5,VIDYA,10,0.0,0.0,ZLEMA,54,0.0,0.0,ZLEMA,216,0.0,0.0,6.590254,-35.0447,37,0,0.0000,VIDYA/ZLEMA,0,6.5903,65.2792,37
C1_1,VIDYA,22,0.0,0.0,McGinley,30,0.0,0.0,McGinley,120,0.0,0.0,16.351346,47.8807,33,0,0.0000,VIDYA/McGinley,1,16.3513,100.8633,33
C1_2,VIDYA,22,0.0,0.0,DEMA,54,0.0,0.0,DEMA,216,0.0,0.0,15.431332,54.0516,36,0,0.0000,VIDYA/DEMA,1,15.4313,107.3674,36
C1_3,VIDYA,24,0.0,0.0,EMA,33,0.0,0.0,EMA,132,0.0,0.0,14.374301,97.1380,38,0,0.0000,VIDYA/EMA,1,14.3743,116.9693,38
C1_4,VIDYA,20,0.0,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,13.085892,69.2305,31,0,0.0000,VIDYA/EMA,1,13.0859,89.3105,31
C1_5,VIDYA,16,0.0,0.0,DEMA,45,0.0,0.0,DEMA,180,0.0,0.0,8.470680,33.5846,31,0,0.0000,VIDYA/DEMA,1,8.4707,86.3890,31
C2_1,VWMA,22,0.0,0.0,TEMA,49,0.0,0.0,TEMA,196,0.0,0.0,11.727679,-19.1046,34,0,0.0000,VWMA/TEMA,2,11.7277,81.7765,34
C2_2,KAMA,10,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,8.396656,78.5673,38,0,0.0000,KAMA/TEMA,2,8.3967,105.5122,38
C2_3,VWMA,24,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,7.268457,-18.3647,30,0,0.0000,VWMA/TEMA,2,7.2685,72.1013,30
C2_4,Tenkan,22,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,6.345292,108.5152,49,0,0.0000,Tenkan/TEMA,2,6.3453,85.3084,49
C2_5,KAMA,10,0.0,0.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,5.868484,-2.4102,37,0,0.0000,KAMA/TEMA,2,5.8685,89.4919,37
C2_6,Tenkan,22,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,5.344826,120.0882,39,0,0.0000,Tenkan/TEMA,2,5.3448,74.5291,39
