rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,20,0.7,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,8.827544,358.2724,144,144,0.1250,T3/KAMA,-1,,,
2,T3,24,0.7,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,8.151086,318.4122,94,94,0.0000,T3/KAMA,-1,,,
3,T3,22,0.7,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,5.482946,276.3671,224,224,0.7500,T3/FRAMA,-1,,,
4,T3,22,0.8,0.0,ALMA,30,0.5,6.0,ALMA,120,0.5,6.0,4.480059,175.8322,130,130,0.0156,T3/ALMA,-1,,,
5,T3,24,0.8,0.0,EMA,63,0.0,0.0,EMA,252,0.0,0.0,4.283468,167.3284,86,86,0.0000,T3/EMA,-1,,,
6,Tenkan,24,0.0,0.0,ALMA,33,0.5,6.0,ALMA,132,0.5,6.0,4.239862,236.6071,350,350,1.0000,Tenkan/ALMA,-1,,,
7,McGinley,22,0.0,0.0,KAMA,72,0.0,0.0,KAMA,288,0.0,0.0,3.942245,153.9990,70,70,0.0000,McGinley/KAMA,-1,,,
8,SMA,24,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,3.811376,148.8867,122,122,0.0000,SMA/KAMA,-1,,,
9,T3,24,0.8,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,3.687295,144.0397,92,92,0.0000,T3/EMA,-1,,,
10,T3,22,0.7,0.0,ALMA,66,0.5,4.0,ALMA,264,0.5,4.0,3.351724,130.9310,94,94,0.0000,T3/ALMA,-1,,,
11,SMA,22,0.0,0.0,KAMA,72,0.0,0.0,KAMA,288,0.0,0.0,3.340290,130.4843,76,76,0.0000,SMA/KAMA,-1,,,
12,McGinley,22,0.0,0.0,KAMA,63,0.0,0.0,KAMA,252,0.0,0.0,3.084672,120.4989,76,76,0.0000,McGinley/KAMA,-1,,,
13,Tenkan,24,0.0,0.0,ALMA,30,0.5,6.0,ALMA,120,0.5,6.0,2.836756,158.3063,384,384,1.0000,Tenkan/ALMA,-1,,,
14,T3,18,0.8,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,2.713169,151.4095,258,258,1.0000,T3/FRAMA,-1,,,
C0_1,SMA,16,0.0,0.0,TEMA,39,0.0,0.0,TEMA,156,0.0,0.0,22.965458,-35.4814,33,0,0.0000,SMA/TEMA,0,22.9655,70.2416,33
C0_2,SMA,16,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,7.533424,-37.8524,34,0,0.0000,SMA/TEMA,0,7.5334,59.2403,34
