rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,12,0.0,0.0,KAMA,30,0.0,0.0,KAMA,120,0.0,0.0,52.069664,520.6966,120,120,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,12,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,32.099110,320.9911,102,102,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,12,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,30.839117,308.3912,147,147,0.0000,VIDYA/ALMA,-1,,,
4,Tenkan,20,0.0,0.0,FRAMA,30,0.0,0.0,FRAMA,120,0.0,0.0,25.776426,368.2347,425,425,1.0000,Tenkan/FRAMA,-1,,,
5,ALMA,16,0.5,4.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,24.428316,314.6071,267,267,0.7451,ALMA/TEMA,-1,,,
6,VIDYA,12,0.0,0.0,TEMA,30,0.0,0.0,TEMA,120,0.0,0.0,24.420279,245.1642,155,155,0.0131,VIDYA/TEMA,-1,,,
7,SMA,24,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,24.237219,242.3722,153,153,0.0000,SMA/TEMA,-1,,,
8,ALMA,16,0.5,4.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,21.131475,264.1434,255,255,0.6667,ALMA/TEMA,-1,,,
9,Tenkan,16,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,20.783456,296.9065,460,460,1.0000,Tenkan/FRAMA,-1,,,
10,ALMA,24,0.5,4.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,20.527974,218.1097,183,183,0.1961,ALMA/ZLEMA,-1,,,
11,ALMA,24,0.5,4.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,20.112692,207.6411,169,169,0.1046,ALMA/ZLEMA,-1,,,
12,VIDYA,12,0.0,0.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,19.831178,198.3118,139,139,0.0000,VIDYA/TEMA,-1,,,
13,SMA,24,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,18.007850,180.0785,147,147,0.0000,SMA/TEMA,-1,,,
14,VIDYA,12,0.0,0.0,ALMA,33,0.85,6.0,ALMA,132,0.85,6.0,17.374141,173.7414,145,145,0.0000,VIDYA/ALMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,Tenkan,57,0.0,0.0,Tenkan,228,0.0,0.0,2.988704,-72.1217,30,0,0.0000,VIDYA/Tenkan,0,2.9887,51.7236,30
C0_2,VIDYA,20,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,2.953850,30.2191,42,0,0.0000,VIDYA/FRAMA,0,2.9538,77.1063,42
C0_3,VIDYA,14,0.0,0.0,EMA,66,0.0,0.0,EMA,264,0.0,0.0,2.786219,11.5797,41,0,0.0000,VIDYA/EMA,0,2.7862,63.8801,41
C0_4,VIDYA,20,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,2.183813,11.7088,47,0,0.0000,VIDYA/FRAMA,0,2.1838,54.9097,47
C1_1,KAMA,14,0.0,0.0,ZLEMA,33,0.0,0.0,ZLEMA,132,0.0,0.0,7.309160,163.2072,46,0,0.0000,KAMA/ZLEMA,1,7.3092,101.0569,46
C1_2,KAMA,22,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,6.460215,11.7066,30,0,0.0000,KAMA/DEMA,1,6.4602,72.5355,30
C1_3,VWMA,24,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,6.110891,-9.5462,31,0,0.0000,VWMA/DEMA,1,6.1109,42.8791,31
C1_4,VWMA,22,0.0,0.0,DEMA,36,0.0,0.0,DEMA,144,0.0,0.0,5.874740,7.6376,36,0,0.0000,VWMA/DEMA,1,5.8747,52.1717,36
C1_5,KAMA,14,0.0,0.0,ZLEMA,45,0.0,0.0,ZLEMA,180,0.0,0.0,4.890760,44.2213,40,0,0.0000,KAMA/ZLEMA,1,4.8908,75.6885,40
C1_6,KAMA,22,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,4.303876,11.3654,32,0,0.0000,KAMA/DEMA,1,4.3039,55.6600,32
C2_1,ALMA,24,0.85,4.0,TEMA,33,0.0,0.0,TEMA,132,0.0,0.0,7.764372,97.8924,31,0,0.0000,ALMA/TEMA,2,7.7644,54.2969,31
C2_2,ALMA,24,0.85,4.0,TEMA,36,0.0,0.0,TEMA,144,0.0,0.0,7.256569,83.7223,36,0,0.0000,ALMA/TEMA,2,7.2566,56.5406,36
C2_3,ALMA,16,0.5,4.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,6.931037,68.1524,34,0,0.0000,ALMA/ZLEMA,2,6.9310,55.8976,34
C2_4,ALMA,20,0.5,4.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,6.235345,106.3865,31,0,0.0000,ALMA/ZLEMA,2,6.2353,48.9191,31
C2_5,T3,22,0.8,0.0,Tenkan,39,0.0,0.0,Tenkan,156,0.0,0.0,5.147986,6.6638,30,0,0.0000,T3/Tenkan,2,5.1480,72.2869,30
C2_6,T3,22,0.8,0.0,Tenkan,42,0.0,0.0,Tenkan,168,0.0,0.0,4.539189,-1.9421,31,0,0.0000,T3/Tenkan,2,4.5392,78.9337,31
