rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,McGinley,10,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,4.371332,43.7133,133,133,0.0000,McGinley/TEMA,-1,,,
2,EMA,12,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,4.333039,43.3304,123,123,0.0000,EMA/TEMA,-1,,,
3,T3,18,0.7,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,3.995495,39.9549,135,135,0.0000,T3/HMA,-1,,,
4,EMA,12,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,3.959723,39.5972,133,133,0.0000,EMA/TEMA,-1,,,
5,VIDYA,16,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,3.720990,37.2099,111,111,0.0000,VIDYA/KAMA,-1,,,
6,McGinley,12,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,3.518948,35.1895,107,107,0.0000,McGinley/TEMA,-1,,,
7,EMA,16,0.0,0.0,DEMA,33,0.0,0.0,DEMA,132,0.0,0.0,3.443107,34.4311,67,67,0.0000,EMA/DEMA,-1,,,
8,McGinley,22,0.0,0.0,HMA,66,0.0,0.0,HMA,264,0.0,0.0,3.395865,33.9587,137,137,0.0000,McGinley/HMA,-1,,,
9,McGinley,24,0.0,0.0,HMA,72,0.0,0.0,HMA,288,0.0,0.0,3.220028,32.2003,127,127,0.0000,McGinley/HMA,-1,,,
10,VIDYA,16,0.0,0.0,HMA,75,0.0,0.0,HMA,300,0.0,0.0,3.146969,31.4697,105,105,0.0000,VIDYA/HMA,-1,,,
11,VIDYA,14,0.0,0.0,HMA,72,0.0,0.0,HMA,288,0.0,0.0,3.049768,30.4977,111,111,0.0000,VIDYA/HMA,-1,,,
12,VIDYA,16,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,2.997740,29.9774,115,115,0.0000,VIDYA/KAMA,-1,,,
13,EMA,12,0.0,0.0,DEMA,30,0.0,0.0,DEMA,120,0.0,0.0,2.947578,29.4758,129,129,0.0000,EMA/DEMA,-1,,,
14,T3,16,0.7,0.0,HMA,72,0.0,0.0,HMA,288,0.0,0.0,2.406434,24.9381,153,153,0.1168,T3/HMA,-1,,,
C0_1,McGinley,22,0.0,0.0,HMA,60,0.0,0.0,HMA,240,0.0,0.0,4.882842,17.9384,37,0,0.0000,McGinley/HMA,0,4.8828,17.4173,37
C0_2,EMA,24,0.0,0.0,HMA,60,0.0,0.0,HMA,240,0.0,0.0,4.766777,18.8617,40,0,0.0000,EMA/HMA,0,4.7668,18.3270,40
