rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,18,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,45.309640,453.0964,76,76,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,20,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,45.296140,452.9614,60,60,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,22,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,43.253387,432.5339,97,97,0.0000,VIDYA/FRAMA,-1,,,
4,McGinley,24,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,42.079125,420.7912,105,105,0.0000,McGinley/TEMA,-1,,,
5,McGinley,24,0.0,0.0,TEMA,60,0.0,0.0,TEMA,240,0.0,0.0,39.197151,391.9715,89,89,0.0000,McGinley/TEMA,-1,,,
6,SMA,24,0.0,0.0,TEMA,69,0.0,0.0,TEMA,276,0.0,0.0,37.284306,389.1720,163,163,0.1399,SMA/TEMA,-1,,,
7,VIDYA,22,0.0,0.0,FRAMA,54,0.0,0.0,FRAMA,216,0.0,0.0,32.538477,325.3848,91,91,0.0000,VIDYA/FRAMA,-1,,,
8,EMA,24,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,32.329817,323.2982,111,111,0.0000,EMA/TEMA,-1,,,
9,T3,20,0.7,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,32.127856,378.4418,215,215,0.5035,T3/TEMA,-1,,,
10,SMA,22,0.0,0.0,TEMA,63,0.0,0.0,TEMA,252,0.0,0.0,31.753174,329.9930,161,161,0.1259,SMA/TEMA,-1,,,
11,KAMA,14,0.0,0.0,DEMA,42,0.0,0.0,DEMA,168,0.0,0.0,31.305218,331.8492,170,170,0.1888,KAMA/DEMA,-1,,,
12,T3,20,0.8,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,27.702881,347.8061,240,240,0.6783,T3/TEMA,-1,,,
13,KAMA,14,0.0,0.0,DEMA,39,0.0,0.0,DEMA,156,0.0,0.0,27.380586,300.9549,186,186,0.3007,KAMA/DEMA,-1,,,
14,EMA,24,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,25.127169,251.2717,125,125,0.0000,EMA/TEMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,48.481983,19.5451,31,0,0.0000,VIDYA/EMA,0,48.4820,128.7781,31
C0_2,VIDYA,24,0.0,0.0,EMA,51,0.0,0.0,EMA,204,0.0,0.0,16.844479,7.1694,30,0,0.0000,VIDYA/EMA,0,16.8445,112.4758,30
C0_3,VIDYA,18,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,7.531209,168.9740,33,0,0.0000,VIDYA/DEMA,0,7.5312,115.4414,33
C0_4,VIDYA,20,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,5.800284,237.9920,39,0,0.0000,VIDYA/KAMA,0,5.8003,108.6031,39
C0_5,VIDYA,18,0.0,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,5.305538,138.8348,32,0,0.0000,VIDYA/DEMA,0,5.3055,106.6560,32
C0_6,VIDYA,20,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,5.002974,282.2119,34,0,0.0000,VIDYA/KAMA,0,5.0030,93.0039,34
C1_1,T3,18,0.7,0.0,EMA,39,0.0,0.0,EMA,156,0.0,0.0,5.626171,-13.0552,34,0,0.0000,T3/EMA,1,5.6262,61.8528,34
C1_2,T3,18,0.8,0.0,ALMA,60,0.85,6.0,ALMA,240,0.85,6.0,5.504211,10.8407,31,0,0.0000,T3/ALMA,1,5.5042,57.6119,31
C1_3,T3,18,0.8,0.0,ALMA,54,0.85,6.0,ALMA,216,0.85,6.0,4.821302,42.9888,32,0,0.0000,T3/ALMA,1,4.8213,75.1058,32
C1_4,T3,20,0.7,0.0,DEMA,60,0.0,0.0,DEMA,240,0.0,0.0,4.766733,25.1259,35,0,0.0000,T3/DEMA,1,4.7667,81.0110,35
C1_5,T3,16,0.7,0.0,EMA,36,0.0,0.0,EMA,144,0.0,0.0,4.725147,2.8690,34,0,0.0000,T3/EMA,1,4.7251,55.5439,34
C1_6,T3,20,0.7,0.0,DEMA,57,0.0,0.0,DEMA,228,0.0,0.0,4.383845,7.5092,40,0,0.0000,T3/DEMA,1,4.3838,84.3203,40
C2_1,ALMA,22,0.5,4.0,ZLEMA,39,0.0,0.0,ZLEMA,156,0.0,0.0,22.850040,225.1921,34,0,0.0000,ALMA/ZLEMA,2,22.8500,77.4543,34
C2_2,ALMA,20,0.5,4.0,ZLEMA,42,0.0,0.0,ZLEMA,168,0.0,0.0,15.569905,99.3901,35,0,0.0000,ALMA/ZLEMA,2,15.5699,62.7665,35
C2_3,SMA,22,0.0,0.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,15.327613,117.2031,31,0,0.0000,SMA/TEMA,2,15.3276,66.6760,31
C2_4,ALMA,24,0.5,6.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,14.980242,48.6428,33,0,0.0000,ALMA/TEMA,2,14.9802,70.1616,33
C2_5,SMA,16,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,12.926735,146.4629,30,0,0.0000,SMA/TEMA,2,12.9267,60.1253,30
C2_6,ALMA,22,0.5,4.0,TEMA,42,0.0,0.0,TEMA,168,0.0,0.0,12.101282,61.3077,35,0,0.0000,ALMA/TEMA,2,12.1013,72.6617,35
