rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,T3,18,0.7,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,28.570161,408.1452,271,271,1.0000,T3/FRAMA,-1,,,
2,T3,20,0.7,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,20.881776,272.4614,233,233,0.7786,T3/FRAMA,-1,,,
3,VIDYA,14,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,20.590050,205.9005,110,110,0.0000,VIDYA/KAMA,-1,,,
4,VIDYA,18,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,19.246185,192.4619,93,93,0.0000,VIDYA/KAMA,-1,,,
5,VIDYA,12,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,18.631822,207.1960,175,175,0.3359,VIDYA/FRAMA,-1,,,
6,ALMA,24,0.5,4.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,17.011508,243.0215,307,307,1.0000,ALMA/FRAMA,-1,,,
7,McGinley,24,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,16.701476,203.3358,209,209,0.5954,McGinley/FRAMA,-1,,,
8,KAMA,10,0.0,0.0,FRAMA,66,0.0,0.0,FRAMA,264,0.0,0.0,16.110878,230.1554,276,276,1.0000,KAMA/FRAMA,-1,,,
9,KAMA,18,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,15.959221,203.3714,225,225,0.7176,KAMA/FRAMA,-1,,,
10,SMA,22,0.0,0.0,FRAMA,60,0.0,0.0,FRAMA,240,0.0,0.0,15.729979,224.7140,295,295,1.0000,SMA/FRAMA,-1,,,
11,McGinley,18,0.0,0.0,FRAMA,36,0.0,0.0,FRAMA,144,0.0,0.0,15.310729,214.5140,256,256,0.9542,McGinley/FRAMA,-1,,,
12,ALMA,24,0.5,4.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,13.248411,189.2630,333,333,1.0000,ALMA/FRAMA,-1,,,
13,SMA,18,0.0,0.0,FRAMA,57,0.0,0.0,FRAMA,228,0.0,0.0,13.181330,188.3047,318,318,1.0000,SMA/FRAMA,-1,,,
14,VIDYA,10,0.0,0.0,FRAMA,63,0.0,0.0,FRAMA,252,0.0,0.0,11.713100,134.3622,187,187,0.4275,VIDYA/FRAMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,16.156562,12.5518,30,0,0.0000,VIDYA/FRAMA,0,16.1566,50.2504,30
C0_2,VIDYA,14,0.0,0.0,TEMA,51,0.0,0.0,TEMA,204,0.0,0.0,6.871038,14.2875,34,0,0.0000,VIDYA/TEMA,0,6.8710,56.8245,34
C0_3,VIDYA,16,0.0,0.0,FRAMA,33,0.0,0.0,FRAMA,132,0.0,0.0,6.332436,18.9618,31,0,0.0000,VIDYA/FRAMA,0,6.3324,49.8192,31
C0_4,VIDYA,14,0.0,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,5.833350,-4.1466,33,0,0.0000,VIDYA/TEMA,0,5.8333,57.2973,33
C0_5,VIDYA,18,0.0,0.0,ALMA,45,0.85,6.0,ALMA,180,0.85,6.0,5.637590,-13.0929,33,0,0.0000,VIDYA/ALMA,0,5.6376,49.7014,33
C0_6,VIDYA,18,0.0,0.0,ALMA,36,0.85,4.0,ALMA,144,0.85,4.0,5.490003,0.3672,30,0,0.0000,VIDYA/ALMA,0,5.4900,49.8687,30
C1_1,SMA,24,0.0,0.0,TEMA,45,0.0,0.0,TEMA,180,0.0,0.0,7.184092,18.0766,31,0,0.0000,SMA/TEMA,1,7.1841,55.2458,31
C1_2,SMA,14,0.0,0.0,ZLEMA,36,0.0,0.0,ZLEMA,144,0.0,0.0,3.644017,-12.6278,43,0,0.0000,SMA/ZLEMA,1,3.6440,45.2782,43
C1_3,SMA,22,0.0,0.0,TEMA,48,0.0,0.0,TEMA,192,0.0,0.0,3.628018,23.7046,30,0,0.0000,SMA/TEMA,1,3.6280,42.7331,30
C1_4,VIDYA,10,0.0,0.0,ALMA,30,0.85,6.0,ALMA,120,0.85,6.0,3.164255,29.7353,42,0,0.0000,VIDYA/ALMA,1,3.1643,48.1116,42
C2_1,ZLEMA,16,0.0,0.0,T3,57,0.7,0.0,T3,228,0.7,0.0,4.856776,21.7728,32,0,0.0000,ZLEMA/T3,2,4.8568,67.4832,32
C2_2,TEMA,16,0.0,0.0,T3,60,0.7,0.0,T3,240,0.7,0.0,4.207702,41.1620,30,0,0.0000,TEMA/T3,2,4.2077,64.1465,30
C2_3,HMA,14,0.0,0.0,T3,63,0.7,0.0,T3,252,0.7,0.0,4.153147,-1.1219,31,0,0.0000,HMA/T3,2,4.1531,58.4095,31
C2_4,HMA,10,0.0,0.0,T3,69,0.7,0.0,T3,276,0.7,0.0,3.836548,5.6988,32,0,0.0000,HMA/T3,2,3.8365,46.2527,32
C2_5,ZLEMA,12,0.0,0.0,T3,60,0.7,0.0,T3,240,0.7,0.0,3.450310,0.6312,31,0,0.0000,ZLEMA/T3,2,3.4503,57.0342,31
