rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,24,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,38.917595,389.1759,45,45,0.0000,VIDYA/KAMA,-1,,,
2,McGinley,24,0.0,0.0,DEMA,69,0.0,0.0,DEMA,276,0.0,0.0,36.668847,366.6885,59,59,0.0000,McGinley/DEMA,-1,,,
3,VIDYA,16,0.0,0.0,KAMA,33,0.0,0.0,KAMA,132,0.0,0.0,35.334470,362.4917,116,116,0.0841,VIDYA/KAMA,-1,,,
4,VIDYA,24,0.0,0.0,Tenkan,57,0.0,0.0,Tenkan,228,0.0,0.0,34.642799,352.3555,113,113,0.0561,VIDYA/Tenkan,-1,,,
5,VIDYA,24,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,33.896730,338.9673,65,65,0.0000,VIDYA/VWMA,-1,,,
6,McGinley,22,0.0,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,33.354872,333.5487,73,73,0.0000,McGinley/DEMA,-1,,,
7,VIDYA,24,0.0,0.0,Tenkan,49,0.0,0.0,Tenkan,196,0.0,0.0,32.591060,325.9106,95,95,0.0000,VIDYA/Tenkan,-1,,,
8,VIDYA,24,0.0,0.0,VWMA,63,0.0,0.0,VWMA,252,0.0,0.0,31.884011,318.8401,51,51,0.0000,VIDYA/VWMA,-1,,,
9,EMA,22,0.0,0.0,FRAMA,51,0.0,0.0,FRAMA,204,0.0,0.0,23.520198,336.0028,224,224,1.0000,EMA/FRAMA,-1,,,
10,EMA,20,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,21.979082,313.9869,256,256,1.0000,EMA/FRAMA,-1,,,
11,KAMA,14,0.0,0.0,T3,39,0.8,0.0,T3,156,0.8,0.0,21.890556,222.6511,113,113,0.0561,KAMA/T3,-1,,,
12,SMA,24,0.0,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,21.738878,224.9574,119,119,0.1121,SMA/DEMA,-1,,,
13,KAMA,22,0.0,0.0,T3,42,0.8,0.0,T3,168,0.8,0.0,20.218411,202.1841,91,91,0.0000,KAMA/T3,-1,,,
14,SMA,24,0.0,0.0,DEMA,63,0.0,0.0,DEMA,252,0.0,0.0,19.873023,215.6606,135,135,0.2617,SMA/DEMA,-1,,,
C0_1,VIDYA,24,0.0,0.0,Tenkan,49,0.0,0.0,Tenkan,196,0.0,0.0,3.773583,325.9106,37,0,0.0000,VIDYA/Tenkan,0,3.7736,94.2037,37
C0_2,VIDYA,24,0.0,0.0,Tenkan,54,0.0,0.0,Tenkan,216,0.0,0.0,3.592069,312.7486,39,0,0.0000,VIDYA/Tenkan,0,3.5921,97.3481,39
C0_3,ALMA,18,0.5,6.0,T3,63,0.8,0.0,T3,252,0.8,0.0,3.345255,-7.1229,34,0,0.0000,ALMA/T3,0,3.3453,95.1454,34
C0_4,VIDYA,20,0.0,0.0,VWMA,75,0.0,0.0,VWMA,300,0.0,0.0,3.319372,53.1818,31,0,0.0000,VIDYA/VWMA,0,3.3194,69.3426,31
C0_5,ALMA,18,0.5,4.0,T3,60,0.8,0.0,T3,240,0.8,0.0,3.055003,35.1526,31,0,0.0000,ALMA/T3,0,3.0550,88.6700,31
C1_1,ALMA,16,0.5,6.0,ALMA,57,0.85,6.0,ALMA,228,0.85,6.0,4.014067,9.7348,36,0,0.0000,ALMA/ALMA,1,4.0141,62.6412,36
C1_2,McGinley,12,0.0,0.0,FRAMA,42,0.0,0.0,FRAMA,168,0.0,0.0,3.806602,13.7118,35,0,0.0000,McGinley/FRAMA,1,3.8066,64.1319,35
C1_3,ALMA,16,0.5,6.0,ALMA,60,0.85,6.0,ALMA,240,0.85,6.0,3.594026,1.3291,36,0,0.0000,ALMA/ALMA,1,3.5940,57.4407,36
C1_4,McGinley,24,0.0,0.0,Tenkan,30,0.0,0.0,Tenkan,120,0.0,0.0,3.237460,-38.7122,30,0,0.0000,McGinley/Tenkan,1,3.2375,54.7803,30
C1_5,McGinley,18,0.0,0.0,FRAMA,39,0.0,0.0,FRAMA,156,0.0,0.0,3.027721,109.2105,32,0,0.0000,McGinley/FRAMA,1,3.0277,56.1878,32
C2_1,ALMA,22,0.5,4.0,ZLEMA,49,0.0,0.0,ZLEMA,196,0.0,0.0,9.338265,87.2618,31,0,0.0000,ALMA/ZLEMA,2,9.3383,48.7876,31
C2_2,ALMA,24,0.5,4.0,ZLEMA,57,0.0,0.0,ZLEMA,228,0.0,0.0,7.693939,12.7420,32,0,0.0000,ALMA/ZLEMA,2,7.6939,43.1304,32
C2_3,VIDYA,22,0.0,0.0,VWMA,66,0.0,0.0,VWMA,264,0.0,0.0,4.944067,138.6625,32,0,0.0000,VIDYA/VWMA,2,4.9441,122.9406,32
C2_4,T3,22,0.7,0.0,TEMA,57,0.0,0.0,TEMA,228,0.0,0.0,4.135569,76.7472,51,0,0.0000,T3/TEMA,2,4.1356,63.7622,51
C2_5,T3,20,0.7,0.0,TEMA,54,0.0,0.0,TEMA,216,0.0,0.0,3.476424,101.8819,56,0,0.0000,T3/TEMA,2,3.4764,67.1560,56
