rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,EMA,20,0.0,0.0,KAMA,39,0.0,0.0,KAMA,156,0.0,0.0,477.562603,164.3873,116,116,0.0000,EMA/KAMA,-1,,,
2,McGinley,10,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,473.618469,166.4740,124,124,0.0690,McGinley/KAMA,-1,,,
3,EMA,22,0.0,0.0,KAMA,42,0.0,0.0,KAMA,168,0.0,0.0,397.036679,136.6686,109,109,0.0000,EMA/KAMA,-1,,,
4,VWMA,24,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,393.567178,135.4743,103,103,0.0000,VWMA/KAMA,-1,,,
5,T3,24,0.7,0.0,SSmoother,54,0.0,0.0,SSmoother,216,0.0,0.0,380.878263,143.7463,150,150,0.2931,T3/SSmoother,-1,,,
6,T3,24,0.7,0.0,SSmoother,45,0.0,0.0,SSmoother,180,0.0,0.0,380.590054,150.4638,166,166,0.4310,T3/SSmoother,-1,,,
7,McGinley,12,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,380.121073,132.9082,122,122,0.0517,McGinley/KAMA,-1,,,
8,VWMA,24,0.0,0.0,KAMA,49,0.0,0.0,KAMA,196,0.0,0.0,368.891938,126.9805,102,102,0.0000,VWMA/KAMA,-1,,,
9,T3,24,0.8,0.0,Tenkan,60,0.0,0.0,Tenkan,240,0.0,0.0,363.427533,132.6467,138,138,0.1897,T3/Tenkan,-1,,,
10,McGinley,20,0.0,0.0,EMA,48,0.0,0.0,EMA,192,0.0,0.0,362.855728,124.9028,75,75,0.0000,McGinley/EMA,-1,,,
11,T3,22,0.8,0.0,KAMA,69,0.0,0.0,KAMA,276,0.0,0.0,362.363374,124.7333,76,76,0.0000,T3/KAMA,-1,,,
12,McGinley,22,0.0,0.0,EMA,30,0.0,0.0,EMA,120,0.0,0.0,356.399589,122.6804,106,106,0.0000,McGinley/EMA,-1,,,
13,T3,24,0.8,0.0,Tenkan,51,0.0,0.0,Tenkan,204,0.0,0.0,301.952736,123.7873,178,178,0.5345,T3/Tenkan,-1,,,
14,T3,20,0.8,0.0,KAMA,66,0.0,0.0,KAMA,264,0.0,0.0,282.086991,97.1004,87,87,0.0000,T3/KAMA,-1,,,
