rank,fast_type,fast_period,fast_p1,fast_p2,slow_type,slow_period,slow_p1,slow_p2,trend_type,trend_period,trend_p1,trend_p2,score,pnl,trades,raw_crosses,excess_cross,family,cluster_id,cluster_pf,cluster_pnl,cluster_trades
1,VIDYA,16,0.0,0.0,KAMA,51,0.0,0.0,KAMA,204,0.0,0.0,23.360547,233.6055,79,79,0.0000,VIDYA/KAMA,-1,,,
2,VIDYA,16,0.0,0.0,KAMA,54,0.0,0.0,KAMA,216,0.0,0.0,16.908725,169.0872,75,75,0.0000,VIDYA/KAMA,-1,,,
3,VIDYA,18,0.0,0.0,EMA,54,0.0,0.0,EMA,216,0.0,0.0,10.477908,104.7791,102,102,0.0000,VIDYA/EMA,-1,,,
4,VIDYA,24,0.0,0.0,FRAMA,48,0.0,0.0,FRAMA,192,0.0,0.0,10.360112,103.6011,84,84,0.0000,VIDYA/FRAMA,-1,,,
5,McGinley,10,0.0,0.0,KAMA,36,0.0,0.0,KAMA,144,0.0,0.0,9.616445,96.1644,124,124,0.0000,McGinley/KAMA,-1,,,
6,FRAMA,18,0.0,0.0,ZLEMA,57,0.0,0.0,ZLEMA,228,0.0,0.0,9.443971,107.0966,184,184,0.3939,FRAMA/ZLEMA,-1,,,
7,SMA,14,0.0,0.0,ZLEMA,57,0.0,0.0,ZLEMA,228,0.0,0.0,9.249268,112.4220,210,210,0.5909,SMA/ZLEMA,-1,,,
8,VIDYA,16,0.0,0.0,DEMA,66,0.0,0.0,DEMA,264,0.0,0.0,8.996254,89.9625,82,82,0.0000,VIDYA/DEMA,-1,,,
9,VIDYA,18,0.0,0.0,EMA,57,0.0,0.0,EMA,228,0.0,0.0,8.941595,89.4159,98,98,0.0000,VIDYA/EMA,-1,,,
10,VIDYA,20,0.0,0.0,DEMA,75,0.0,0.0,DEMA,300,0.0,0.0,8.694611,86.9461,46,46,0.0000,VIDYA/DEMA,-1,,,
